pitcher,player_name,xfp_v7,gs_2026,fp_per_start_actual_2026,k_pct_2026,xfp_v6,xfp_v5,delta_v7_v6
592866,"Williams, Trevor",8.5662194101662,,,,8.379598313010646,8.811624274301838,0.18662109715555353
593958,"Rodriguez, Eduardo",8.906014070459655,6.0,10.3,0.1538461538461538,9.180264834943939,9.258199223145045,-0.2742507644842842
594798,"deGrom, Jacob",14.29271284146661,6.0,16.183333333333334,0.3174603174603174,14.779042901981125,14.27876441855415,-0.4863300605145149
596295,"Gomber, Austin",5.6327524182234665,,,,5.670574146726507,5.545720210245343,-0.03782172850304022
601713,"Pivetta, Nick",11.545506101058468,4.0,10.7,0.3636363636363636,12.006150112215886,11.786877741707581,-0.4606440111574184
605135,"Bassitt, Chris",10.040858933511547,6.0,3.0333333333333314,0.125,10.114864852035803,9.946018818932087,-0.07400591852425542
605280,"Holmes, Clay",9.789556315439198,7.0,16.11428571428571,0.1845238095238095,,9.94581114588215,
605288,"Houser, Adrian",10.179941156001128,6.0,1.7999999999999985,0.1048951048951049,10.510464889993536,10.256639285059075,-0.33052373399240764
605400,"Nola, Aaron",11.126277666844802,6.0,7.716666666666665,0.25,11.9292129815604,11.705500237490547,-0.8029353147155991
605483,"Snell, Blake",13.232299690301573,,,,13.32182222456348,14.008161933613518,-0.08952253426190637
605488,"Springs, Jeffrey",10.05166399922718,7.0,12.214285714285712,0.2215189873417721,9.669423372041802,10.262706052062512,0.38224062718537866
605540,"Woodruff, Brandon",17.522140402970383,6.0,10.616666666666664,0.2049180327868852,18.012625033268073,17.38940266284186,-0.49048463029768996
607067,"Rea, Colin",9.777117818989518,4.0,9.775,0.2112676056338028,10.507003162798966,9.880373118802465,-0.7298853438094479
607074,"Rodón, Carlos",13.273483571552688,,,,13.44499285428266,13.297528125866659,-0.17150928272997135
607192,"Glasnow, Tyler",12.25129353725045,6.0,19.9,0.3263888888888889,13.604430860690279,12.956441473008658,-1.353137323439828
607200,"Fedde, Erick",6.012271268142806,4.0,11.349999999999998,0.1641791044776119,6.6033242906217255,6.434320463784715,-0.5910530224789197
607259,"Martinez, Nick",9.805501327997689,6.0,15.999999999999998,0.1632653061224489,9.556952542610027,9.93687565483588,0.248548785387662
607536,"Freeland, Kyle",8.921224410505673,5.0,8.499999999999998,0.2162162162162162,9.219422930599348,8.854855430029234,-0.29819852009367587
607625,"Lugo, Seth",7.527124573687544,7.0,14.4,0.2114285714285714,7.774124073424609,7.431458417508637,-0.2469994997370648
608331,"Fried, Max",12.699383218852029,7.0,17.085714285714285,0.2191011235955056,13.224078074024757,12.61704443002644,-0.5246948551727275
608337,"Giolito, Lucas",7.963577081376899,,,,8.620965726078984,8.3408172225731,-0.6573886447020847
608372,"Sugano, Tomoyuki",5.8817748386899265,6.0,11.233333333333333,0.1603053435114503,,6.112289834754345,
608379,"Wacha, Michael",9.73882912987331,6.0,14.316666666666665,0.2229729729729729,10.092432353558646,10.006295957180125,-0.3536032236853366
608566,"Márquez, Germán",5.485927280253643,6.0,4.899999999999998,0.1472868217054263,5.531370154514183,5.553973828870627,-0.045442874260539945
615698,"Quantrill, Cal",6.163404180100191,,,,6.417156482820654,6.48505598157678,-0.25375230272046334
621107,"Eflin, Zach",9.15884614569675,,,,9.337774674534025,9.452124384160587,-0.17892852883727528
621111,"Buehler, Walker",6.905760879710199,6.0,6.399999999999999,0.2105263157894736,6.994856831507036,7.009134514637159,-0.08909595179683727
621121,"McCullers Jr., Lance",7.332021261090428,6.0,8.549999999999997,0.2462686567164179,7.373018960465538,7.269339309895793,-0.04099769937511066
621244,"Berríos, José",8.796554578749475,,,,9.468268691129293,8.732930908431948,-0.6717141123798172
622491,"Castillo, Luis",11.062017252179881,7.0,3.2428571428571424,0.186335403726708,10.853431980720604,10.448107673690187,0.20858527145927752
622608,"Senzatela, Antonio",3.1807471761574497,,,,2.9876316298413625,3.0828354005898246,0.19311554631608718
622663,"Severino, Luis",8.443088704508433,7.0,10.314285714285711,0.2469135802469135,9.051307467888263,8.733106731537351,-0.6082187633798295
624133,"Suarez, Ranger",13.026849064249683,7.0,14.057142857142855,0.2162162162162162,12.915018199351017,13.156318692957212,0.1118308648986659
640455,"Manaea, Sean",11.532209436210229,,,,11.989478149275422,11.808738094161079,-0.45726871306519357
641154,"López, Pablo",11.329425926662472,,,,12.134184095264906,11.994552422292903,-0.8047581686024348
641778,"Lauer, Eric",11.485797109745404,5.0,4.899999999999999,0.1626016260162601,11.524462199346653,11.252970113908734,-0.038665089601249036
641793,"Littell, Zack",9.524568685774614,5.0,-1.2000000000000004,0.1133333333333333,9.461773051399419,9.694778592151396,0.06279563437519542
641816,"Mahle, Tyler",10.127408653889837,7.0,8.228571428571428,0.2151898734177215,10.34220013701383,10.459075681013289,-0.21479148312399232
641927,"Ober, Bailey",10.092136858677904,7.0,10.899999999999997,0.1835443037974683,10.613036268966392,10.755656566375723,-0.5208994102884876
642547,"Peralta, Freddy",12.739717265410789,7.0,14.07142857142857,0.2560975609756097,13.113953433829531,12.793776267565047,-0.37423616841874185
645261,"Alcantara, Sandy",9.475189803283756,7.0,13.7,0.160621761658031,10.33475370231193,9.362791231494246,-0.8595638990281742
647336,"Soroka, Michael",11.786392648689022,6.0,9.333333333333332,0.2627737226277372,,12.11768729372318,
650633,"King, Michael",10.326754308733385,7.0,14.228571428571428,0.24375,10.621857704534811,10.608503992025497,-0.2951033958014264
650644,"Civale, Aaron",9.95430809116262,7.0,10.514285714285714,0.1635220125786163,9.59787376663812,10.010272064568706,0.35643432452449986
