pitcher,year,n_starts,total_pitches,weighted_catcher_framing_runs_per_100,weighted_catcher_framing_runs
643230,2018,5.0,439.0,-0.7254706581034278,-6.529235922930849
643230,2019,20.0,1755.0,-0.5922071819146969,-4.94297377100901
643230,2021,7.0,506.0,0.0024671995767540458,0.5388175346366458
643290,2019,4.0,136.0,-0.21277455526297587,-2.390429661797608
643290,2021,11.0,870.0,-0.5730021111128784,-1.5789576812686454
643290,2022,7.0,540.0,-0.31789909381137504,-1.2010610194582803
643327,2018,32.0,2991.0,1.2122498389797578,6.367972388085516
643327,2019,9.0,744.0,0.9147860831970491,3.2297470630066623
643327,2021,1.0,73.0,0.45639185790140996,4.303775220010296
643338,2019,16.0,428.0,-0.06803885504756506,-0.4490665900917882
643354,2018,1.0,25.0,-0.722656805289575,-2.225782960291889
643377,2021,14.0,1156.0,0.5983214912281022,3.147156011646788
643377,2025,2.0,30.0,0.02245047286242025,0.5499948478365293
643410,2022,5.0,330.0,-0.10972448912045647,-0.7552578646456025
643478,2019,4.0,231.0,0.04600891163750153,-0.12556215317121427
643493,2018,1.0,50.0,-0.6894293944025898,-3.5643499690613862
643493,2019,4.0,301.0,-0.0137441466227581,-0.0885123042505597
643493,2022,1.0,55.0,0.7089829340200668,7.834261420921739
643493,2023,6.0,170.0,-0.4356771481884506,-4.562616341475588
643615,2019,3.0,242.0,0.05258362165331703,0.05244809288738433
643615,2021,3.0,190.0,-0.10724061737800744,-0.2006937616899831
643615,2022,3.0,250.0,-0.5641316735992827,-1.4672639132480458
643617,2019,1.0,46.0,-0.36902364972834795,-2.066532438478749
644428,2018,1.0,98.0,1.4309395983068296,7.254863763415621
645261,2018,6.0,567.0,0.6285259328221903,4.926506937019308
645261,2019,32.0,3111.0,-0.6948207123221047,-3.3830014878287846
645261,2021,32.0,2986.0,-0.040392451119068015,-0.11430322103428654
645261,2022,32.0,3252.0,0.23174508235766264,2.1853561266327617
645261,2023,28.0,2726.0,-0.34588573300463954,-2.3485641271015005
