pitcher,game_pk,game_date,year,catcher_mlbam,n_pitches
453178,530398,2018-06-12,2018,521692,104
453178,530488,2018-06-18,2018,521692,108
453178,530547,2018-06-23,2018,521692,104
453178,530630,2018-06-29,2018,521692,74
453178,530776,2018-07-10,2018,521692,67
453178,531545,2018-09-09,2018,595956,93
453178,531626,2018-09-15,2018,595956,98
453178,531703,2018-09-21,2018,595956,93
453178,531796,2018-09-28,2018,595956,102
453214,530308,2018-06-05,2018,543877,96
453214,530388,2018-06-11,2018,543877,93
453214,530450,2018-06-16,2018,543877,106
453214,530539,2018-06-22,2018,543877,59
453281,529544,2018-05-14,2018,572287,90
453281,529878,2018-05-03,2018,572287,70
453281,529960,2018-05-09,2018,572287,58
453281,530097,2018-05-20,2018,571679,78
453281,530177,2018-05-26,2018,572287,77
453281,530253,2018-05-31,2018,572287,84
453281,530331,2018-06-06,2018,572287,83
453281,530391,2018-06-11,2018,572287,96
453281,530450,2018-06-16,2018,572287,98
453281,530539,2018-06-22,2018,572287,76
453281,530611,2018-06-27,2018,572287,66
453281,530685,2018-07-03,2018,572287,95
453281,530751,2018-07-08,2018,571679,80
453281,530836,2018-07-14,2018,543302,87
453281,530861,2018-07-20,2018,543302,84
453281,530966,2018-07-27,2018,572287,84
453281,531030,2018-08-01,2018,572287,78
453281,531102,2018-08-06,2018,572287,82
453281,531167,2018-08-11,2018,543302,90
453281,531242,2018-08-17,2018,572287,84
453281,531353,2018-08-25,2018,572287,92
453281,531416,2018-08-30,2018,572287,98
453281,531477,2018-09-04,2018,571679,68
453281,531593,2018-09-12,2018,571679,83
453281,531656,2018-09-17,2018,572287,90
453281,531741,2018-09-23,2018,571679,81
453281,531805,2018-09-28,2018,572287,91
453286,529420,2018-03-30,2018,446308,100
453286,529496,2018-04-04,2018,600474,110
453286,529548,2018-04-09,2018,600474,102
453286,529616,2018-04-14,2018,446308,103
453286,529705,2018-04-20,2018,446308,106
453286,529774,2018-04-25,2018,600474,99
453286,529851,2018-05-01,2018,446308,106
453286,529922,2018-05-06,2018,446308,112
453286,529986,2018-05-11,2018,600474,99
453286,530083,2018-05-19,2018,600474,108
453286,530168,2018-05-25,2018,600474,114
453286,530243,2018-05-30,2018,600474,111
453286,530317,2018-06-05,2018,600474,99
453286,530385,2018-06-10,2018,600474,113
453286,530464,2018-06-16,2018,600474,108
453286,530519,2018-06-21,2018,600474,102
453286,530598,2018-06-26,2018,600474,104
453286,530669,2018-07-02,2018,600474,116
453286,530738,2018-07-07,2018,600474,109
453286,530810,2018-07-12,2018,446308,101
453286,530888,2018-07-22,2018,446308,107
453286,530970,2018-07-27,2018,446308,106
453286,531039,2018-08-02,2018,446308,110
453286,531104,2018-08-07,2018,446308,113
453286,531186,2018-08-12,2018,446308,107
453286,531243,2018-08-17,2018,446308,96
453286,531324,2018-08-23,2018,571851,109
453286,531393,2018-08-28,2018,446308,99
453286,531475,2018-09-03,2018,600474,104
453286,531527,2018-09-08,2018,446308,111
453286,531618,2018-09-14,2018,446308,102
453286,531695,2018-09-20,2018,446308,104
453286,531762,2018-09-25,2018,446308,100
453329,530092,2018-05-20,2018,425772,61
453329,530169,2018-05-26,2018,488671,81
453329,530260,2018-06-01,2018,571974,99
453329,530318,2018-06-06,2018,488671,91
453329,530405,2018-06-12,2018,571974,87
453329,530474,2018-06-17,2018,488671,88
453329,530558,2018-06-24,2018,571974,53
453329,530916,2018-07-24,2018,488671,94
453329,530986,2018-07-29,2018,571974,92
453329,531076,2018-08-04,2018,425772,104
453329,531142,2018-08-10,2018,488671,95
453329,531225,2018-08-16,2018,488671,112
453329,531310,2018-08-22,2018,488671,86
453329,531379,2018-08-28,2018,425772,91
453329,531447,2018-09-02,2018,488671,88
453329,531525,2018-09-08,2018,425772,99
453385,529413,2018-03-29,2018,595978,83
