batter,year,prior_career_fp_per_pa,prior_career_pa
456488,2016,0.5686274509803921,204
456488,2017,0.60125,800
456488,2018,0.6230650154798761,1292
456488,2019,0.5836120401337793,1794
456665,2015,,0
456665,2016,0.5169230769230769,325
456665,2017,0.5571428571428572,630
456665,2018,0.5388548057259713,978
456665,2019,0.5752644426362896,1229
456714,2015,,0
456714,2016,0.49169435215946833,602
456715,2015,,0
456715,2016,0.6859504132231405,605
456715,2017,0.6269230769230769,1040
456715,2018,0.6085156712004731,1691
456715,2019,0.6045002163565556,2311
456715,2021,0.5783912747102932,2934
456715,2022,0.5804347826086956,3220
456781,2019,,0
456781,2020,0.4824561403508772,228
456781,2021,0.5138888888888888,432
456781,2022,0.49935649935649934,777
456781,2023,0.4658040665434381,1082
456781,2024,0.45300261096605743,1532
456781,2025,0.45627376425855515,1841
457454,2015,,0
457454,2016,0.4096916299559471,227
457477,2015,,0
457477,2016,0.4986301369863014,365
457705,2015,,0
457705,2016,0.6574344023323615,686
457705,2017,0.5906089508437271,1363
457705,2018,0.6133995037220844,2015
457705,2019,0.5930318754633062,2698
457705,2020,0.595945945945946,2960
457705,2021,0.5945017182130584,3201
457705,2022,0.5917880794701986,3775
457705,2023,0.5768082663605052,4355
457705,2024,0.570511493062746,4829
457705,2025,0.5594013096351731,5345
457706,2015,,0
457706,2016,0.4098671726755218,527
457706,2017,0.4123287671232877,730
457706,2018,0.4675572519083969,1048
457708,2015,,0
457708,2016,0.5548387096774193,620
457708,2017,0.5304975922953451,1246
457708,2018,0.574614976101965,1883
457708,2019,0.5608974358974359,2496
457708,2020,0.5521249545949873,2753
457708,2021,0.5477903391572456,2919
457727,2015,,0
457727,2016,0.5,556
457727,2017,0.545934530095037,947
457727,2018,0.5368120085775554,1399
457727,2019,0.5053280987100393,1783
457727,2020,0.5194931773879142,2052
457759,2015,,0
457759,2016,0.6493212669683258,442
457759,2017,0.643796992481203,1064
457759,2018,0.6834577114427861,1608
457759,2019,0.6927236971484759,2034
457759,2020,0.6887340301974448,2583
457759,2021,0.6874546773023931,2758
457759,2022,0.6819934737466627,3371
457759,2023,0.6702536510376633,3903
457759,2024,0.664164274674321,4529
457759,2025,0.6462115232833465,5068
457763,2015,,0
457763,2016,0.7062600321027287,623
457763,2017,0.678773204196933,1239
457763,2018,0.6679579413392362,1807
457763,2019,0.6407982261640798,2255
457763,2021,0.6081481481481481,2700
457775,2015,,0
457775,2016,,108
457787,2015,,0
457787,2016,0.44660194174757284,412
457787,2017,0.41970443349753694,1015
457803,2015,,0
457803,2016,0.5153846153846153,650
457803,2017,0.5684380032206119,1242
457803,2018,0.5870967741935483,1860
457803,2019,0.5610085547050878,2221
457803,2020,0.5671232876712329,2555
458015,2015,,0
458015,2016,0.7087517934002869,697
458015,2017,0.7270742358078602,1374
458015,2018,0.7650168188370976,2081
458015,2019,0.7230029585798816,2704
458015,2020,0.6818593419861153,3313
458015,2021,0.6759049773755657,3536
458015,2022,0.6805111821086262,4069
458015,2023,0.6562429696287964,4445
458085,2015,,0
458085,2016,0.5526838966202783,503
458675,2015,,0
458675,2016,0.4722792607802875,487
458675,2017,0.41878453038674035,905
458731,2015,,0
458731,2016,0.5289634146341463,656
458731,2017,0.505800464037123,1293
458731,2018,0.5298281092012134,1978
458731,2019,0.5264785465790491,2587
458731,2020,0.5501752150366359,3139
458731,2021,0.5483773127085229,3297
458913,2017,,0
458913,2018,,126
459431,2016,,0
459431,2017,0.482078853046595,558
459964,2015,,0
459964,2016,0.2701754385964912,285
459964,2017,0.46113989637305697,579
459964,2018,0.5289403383793411,1123
459964,2019,0.5105916727538349,1369
459964,2020,0.5208462974486621,1607
460026,2015,,0
460026,2016,0.5398457583547558,389
460026,2017,0.5318246110325319,707
460026,2018,0.48415841584158414,1010
460055,2015,,0
460060,2015,,0
460060,2016,0.344,250
460060,2017,0.2870159453302961,439
460075,2015,,0
460075,2016,0.6878306878306878,567
460075,2017,0.7096204766107679,1133
460075,2018,0.6901860166773572,1559
460075,2019,0.6738154613466334,2005
460075,2020,0.6666666666666666,2514
460077,2015,,0
460077,2016,,120
460077,2017,0.3478260869565216,253
460077,2018,0.3348837209302325,430
460086,2015,,0
460086,2016,0.5071090047393365,422
460086,2017,0.43595263724434874,929
460086,2018,0.40244731475186946,1471
460086,2019,0.4094911937377691,2044
460086,2020,0.4424943988050784,2678
460099,2015,,0
460099,2016,,195
460269,2015,,0
460269,2016,,114
460269,2017,0.4423791821561338,269
460576,2015,,0
460576,2016,0.5209205020920502,478
460576,2017,0.45757250268528465,931
460576,2018,0.46720707442888726,1357
461235,2015,,0
461235,2016,0.3825757575757575,528
461235,2017,0.44410876132930516,993
461314,2015,,0
461314,2016,0.5447530864197531,648
461314,2017,0.5628787878787879,1320
461314,2018,0.5508948545861297,1788
461314,2020,0.5562336530078466,2294
461416,2015,,0
461815,2015,,0
461858,2015,,0
461858,2016,0.5387045813586098,633
461858,2017,0.5306748466257669,978
461865,2015,,0
461865,2016,0.3743842364532019,203
461865,2017,0.3929471032745591,397
461865,2018,0.39946380697050937,746
462101,2015,,0
462101,2016,0.5113122171945701,663
462101,2017,0.5762987012987013,1232
462101,2018,0.6069755335762623,1921
462101,2019,0.5819497658578119,2349
462101,2020,0.5763333333333334,3000
462101,2021,0.5711989713918354,3111
462101,2022,0.5477689570216261,3653
462101,2023,0.5458628841607565,4230
462564,2015,,0
463610,2016,,0
465041,2015,,0
465041,2016,0.4688715953307393,514
465041,2017,0.4597574421168688,907
465041,2018,0.4537953795379538,1212
465041,2019,0.4783415841584158,1616
465674,2015,,0
465784,2015,,0
466320,2015,,0
466320,2016,0.5146198830409356,684
466320,2017,0.5683183183183184,1332
466320,2018,0.5737868934467234,1999
466320,2019,0.5731225296442688,2277
467055,2015,,0
467055,2017,0.4367588932806324,506
467055,2018,0.4318471337579618,785
467055,2019,0.4489402697495183,1038
467070,2015,,0
467092,2015,,0
467092,2016,0.3932806324110672,506
467092,2017,0.5189504373177842,1029
467092,2018,0.5235811350919265,1251
467092,2019,0.5410917816436712,1667
467092,2020,0.549520766773163,2191
467092,2021,0.5404944586530265,2346
467143,2015,,0
467793,2015,,0
467793,2016,0.5615615615615616,666
467793,2017,0.6250922509225092,1355
467793,2018,0.6335311572700296,2022
467793,2019,0.6293007769145395,2703
467793,2020,0.6505455617811855,3391
467793,2021,0.6435426377844804,3647
467793,2022,0.6185279777107036,4307
467793,2023,0.6071873701703365,4814
467793,2024,0.6052244297277409,5436
467793,2025,0.5999668435013262,6032
