key_year,n_years_rolling,venue_id,venue_name,main_team_id,team_abbr,name_display_club,n_pa,index_woba,index_runs,index_hr
2019,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,57623,96,92,111
2019,3,4169,loanDepot park,146,MIA,Marlins,55100,95,90,77
2019,3,32,American Family Field,158,MIL,Brewers,57600,100,100,110
2019,3,3312,Target Field,142,MIN,Twins,56928,102,104,99
2019,3,3289,Citi Field,121,NYM,Mets,56469,96,92,99
2019,3,3313,Yankee Stadium,147,NYY,Yankees,58978,101,102,114
2019,3,2681,Citizens Bank Park,143,PHI,Phillies,55542,101,102,117
2019,3,31,PNC Park,134,PIT,Pirates,55871,100,100,82
2019,3,2680,Petco Park,135,SD,Padres,53944,96,92,92
2019,3,680,T-Mobile Park,136,SEA,Mariners,57012,96,92,100
2019,3,2395,Oracle Park,137,SF,Giants,55811,94,88,66
2019,3,2889,Busch Stadium,138,STL,Cardinals,55870,96,92,87
2019,3,12,Tropicana Field,139,TB,Rays,57748,94,88,87
2019,3,13,Globe Life Park in Arlington,140,TEX,Rangers,57972,108,117,112
2019,3,14,Rogers Centre,141,TOR,Blue Jays,57424,100,100,111
2019,3,3309,Nationals Park,120,WSH,Nationals,58511,104,108,110
2020,1,10,Oakland Coliseum,133,ATH,Athletics,6819,94,88,83
2020,1,4705,Truist Park,144,ATL,Braves,6825,101,102,95
2020,1,15,Chase Field,109,AZ,D-backs,6238,102,104,94
2020,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,6401,94,88,95
2020,1,3,Fenway Park,111,BOS,Red Sox,6571,108,117,96
2020,1,17,Wrigley Field,112,CHC,Cubs,6365,96,92,91
2020,1,2602,Great American Ball Park,113,CIN,Reds,5831,105,110,154
2020,1,5,Progressive Field,114,CLE,Guardians,6363,100,100,90
2020,1,19,Coors Field,115,COL,Rockies,6278,107,114,100
2020,1,4,Rate Field,145,CWS,White Sox,6059,102,104,114
2020,1,2394,Comerica Park,116,DET,Tigers,5442,102,104,97
2020,1,2392,Daikin Park,117,HOU,Astros,6695,92,85,81
2020,1,7,Kauffman Stadium,118,KC,Royals,5884,102,104,92
2020,1,1,Angel Stadium,108,LAA,Angels,6259,108,117,119
2020,1,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,7840,102,104,128
2020,1,4169,loanDepot park,146,MIA,Marlins,5208,98,96,86
2020,1,32,American Family Field,158,MIL,Brewers,5826,102,104,108
2020,1,3312,Target Field,142,MIN,Twins,6173,94,88,86
2020,1,3289,Citi Field,121,NYM,Mets,5938,101,102,116
2020,1,3313,Yankee Stadium,147,NYY,Yankees,6253,101,102,124
2020,1,2681,Citizens Bank Park,143,PHI,Phillies,6205,103,106,117
2020,1,31,PNC Park,134,PIT,Pirates,6181,98,96,89
2020,1,2680,Petco Park,135,SD,Padres,9773,99,98,112
2020,1,680,T-Mobile Park,136,SEA,Mariners,5141,95,90,100
2020,1,2395,Oracle Park,137,SF,Giants,6465,103,106,97
2020,1,2889,Busch Stadium,138,STL,Cardinals,5301,100,100,90
2020,1,12,Tropicana Field,139,TB,Rays,6512,95,90,82
2020,1,5325,Globe Life Field,140,TEX,Rangers,9773,100,100,94
2020,1,2756,Sahlen Field,141,TOR,Blue Jays,5658,101,102,90
2020,1,3309,Nationals Park,120,WSH,Nationals,6114,97,94,93
2020,3,10,Oakland Coliseum,133,ATH,Athletics,43337,95,90,85
2020,3,4705,Truist Park,144,ATL,Braves,45265,102,104,94
2020,3,15,Chase Field,109,AZ,D-backs,44210,100,100,93
2020,3,2,Oriole Park at Camden Yards,110,BAL,Orioles,44116,103,106,118
2020,3,3,Fenway Park,111,BOS,Red Sox,45458,105,110,92
2020,3,17,Wrigley Field,112,CHC,Cubs,43457,99,98,92
2020,3,2602,Great American Ball Park,113,CIN,Reds,43066,102,104,128
2020,3,5,Progressive Field,114,CLE,Guardians,43953,100,100,101
2020,3,19,Coors Field,115,COL,Rockies,43618,115,132,118
2020,3,4,Rate Field,145,CWS,White Sox,42747,99,98,107
2020,3,2394,Comerica Park,116,DET,Tigers,41925,100,100,90
2020,3,2392,Daikin Park,117,HOU,Astros,45893,98,96,106
2020,3,7,Kauffman Stadium,118,KC,Royals,42744,101,102,80
2020,3,1,Angel Stadium,108,LAA,Angels,42738,101,102,112
2020,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,46158,98,96,119
2020,3,4169,loanDepot park,146,MIA,Marlins,42498,95,90,74
2020,3,32,American Family Field,158,MIL,Brewers,44826,99,98,110
2020,3,3312,Target Field,142,MIN,Twins,44321,100,100,93
2020,3,3289,Citi Field,121,NYM,Mets,42836,96,92,105
2020,3,3313,Yankee Stadium,147,NYY,Yankees,44927,102,104,115
2020,3,2681,Citizens Bank Park,143,PHI,Phillies,43875,102,104,116
2020,3,31,PNC Park,134,PIT,Pirates,43668,100,100,84
2020,3,2680,Petco Park,135,SD,Padres,46894,98,96,99
2020,3,680,T-Mobile Park,136,SEA,Mariners,42173,96,92,100
2020,3,2395,Oracle Park,137,SF,Giants,43964,95,90,74
2020,3,2889,Busch Stadium,138,STL,Cardinals,42157,96,92,86
2020,3,12,Tropicana Field,139,TB,Rays,44361,95,90,83
2020,3,3309,Nationals Park,120,WSH,Nationals,46022,105,110,111
2021,1,10,Oakland Coliseum,133,ATH,Athletics,17431,94,88,86
2021,1,4705,Truist Park,144,ATL,Braves,18531,100,100,107
2021,1,15,Chase Field,109,AZ,D-backs,17542,104,108,86
2021,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,17554,108,117,139
2021,1,3,Fenway Park,111,BOS,Red Sox,18873,107,114,94
2021,1,17,Wrigley Field,112,CHC,Cubs,17444,103,106,124
2021,1,2602,Great American Ball Park,113,CIN,Reds,17587,110,121,130
2021,1,5,Progressive Field,114,CLE,Guardians,16847,100,100,110
2021,1,19,Coors Field,115,COL,Rockies,17146,108,117,105
2021,1,4,Rate Field,145,CWS,White Sox,17290,101,102,114
2021,1,2394,Comerica Park,116,DET,Tigers,17092,96,92,72
2021,1,2392,Daikin Park,117,HOU,Astros,19300,100,100,99
2021,1,7,Kauffman Stadium,118,KC,Royals,17359,102,104,76
2021,1,1,Angel Stadium,108,LAA,Angels,17518,101,102,107
2021,1,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,18215,99,98,130
2021,1,4169,loanDepot park,146,MIA,Marlins,17048,94,88,78
2021,1,32,American Family Field,158,MIL,Brewers,17810,96,92,96
2021,1,3312,Target Field,142,MIN,Twins,17511,101,102,110
2021,1,3289,Citi Field,121,NYM,Mets,16150,96,92,92
2021,1,3313,Yankee Stadium,147,NYY,Yankees,17347,97,94,110
2021,1,2681,Citizens Bank Park,143,PHI,Phillies,16930,101,102,104
2021,1,31,PNC Park,134,PIT,Pirates,17407,102,104,78
2021,1,2680,Petco Park,135,SD,Padres,17262,97,94,94
2021,1,680,T-Mobile Park,136,SEA,Mariners,17237,92,85,96
2021,1,2395,Oracle Park,137,SF,Giants,17594,98,96,85
2021,1,2889,Busch Stadium,138,STL,Cardinals,16868,93,86,77
2021,1,12,Tropicana Field,139,TB,Rays,17748,94,88,83
2021,1,5325,Globe Life Field,140,TEX,Rangers,17336,97,94,96
2021,1,14,Rogers Centre,141,TOR,Blue Jays,8804,95,90,101
2021,1,3309,Nationals Park,120,WSH,Nationals,17275,104,108,111
2021,3,10,Oakland Coliseum,133,ATH,Athletics,43580,95,90,85
2021,3,4705,Truist Park,144,ATL,Braves,46087,103,106,103
2021,3,15,Chase Field,109,AZ,D-backs,44261,102,104,89
2021,3,2,Oriole Park at Camden Yards,110,BAL,Orioles,43778,105,110,124
2021,3,3,Fenway Park,111,BOS,Red Sox,46383,107,114,91
2021,3,17,Wrigley Field,112,CHC,Cubs,44336,100,100,104
2021,3,2602,Great American Ball Park,113,CIN,Reds,43175,105,110,126
2021,3,5,Progressive Field,114,CLE,Guardians,43246,99,98,102
2021,3,19,Coors Field,115,COL,Rockies,43434,113,128,112
2021,3,4,Rate Field,145,CWS,White Sox,42564,100,100,113
2021,3,2394,Comerica Park,116,DET,Tigers,41708,99,98,84
2021,3,2392,Daikin Park,117,HOU,Astros,46981,100,100,106
2021,3,7,Kauffman Stadium,118,KC,Royals,42976,101,102,76
2021,3,1,Angel Stadium,108,LAA,Angels,43854,102,104,107
2021,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,45786,98,96,124
2021,3,4169,loanDepot park,146,MIA,Marlins,42395,96,92,81
2021,3,32,American Family Field,158,MIL,Brewers,44836,98,96,105
2021,3,3312,Target Field,142,MIN,Twins,45140,99,98,99
2021,3,3289,Citi Field,121,NYM,Mets,42779,98,96,102
2021,3,3313,Yankee Stadium,147,NYY,Yankees,43227,98,96,111
2021,3,2681,Citizens Bank Park,143,PHI,Phillies,43713,103,106,114
2021,3,31,PNC Park,134,PIT,Pirates,44061,101,102,81
2021,3,2680,Petco Park,135,SD,Padres,48415,96,92,98
2021,3,680,T-Mobile Park,136,SEA,Mariners,41263,95,90,99
2021,3,2395,Oracle Park,137,SF,Giants,45001,95,90,79
2021,3,2889,Busch Stadium,138,STL,Cardinals,41739,94,88,81
2021,3,12,Tropicana Field,139,TB,Rays,44924,94,88,84
2021,3,14,Rogers Centre,141,TOR,Blue Jays,28038,99,98,117
2021,3,3309,Nationals Park,120,WSH,Nationals,45143,104,108,109
2022,1,10,Oakland Coliseum,133,ATH,Athletics,17095,97,94,76
2022,1,4705,Truist Park,144,ATL,Braves,17565,99,98,102
2022,1,15,Chase Field,109,AZ,D-backs,17143,98,96,82
2022,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,17316,99,98,82
2022,1,3,Fenway Park,111,BOS,Red Sox,17686,108,117,108
2022,1,17,Wrigley Field,112,CHC,Cubs,17303,99,98,90
2022,1,2602,Great American Ball Park,113,CIN,Reds,17540,107,114,131
2022,1,5,Progressive Field,114,CLE,Guardians,17863,96,92,87
2022,1,19,Coors Field,115,COL,Rockies,17914,114,130,121
2022,1,4,Rate Field,145,CWS,White Sox,17578,101,102,109
2022,1,2394,Comerica Park,116,DET,Tigers,17125,97,94,74
2022,1,2392,Daikin Park,117,HOU,Astros,18238,99,98,112
2022,1,7,Kauffman Stadium,118,KC,Royals,17616,105,110,80
2022,1,1,Angel Stadium,108,LAA,Angels,17206,100,100,118
2022,1,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,17542,101,102,118
2022,1,4169,loanDepot park,146,MIA,Marlins,17073,100,100,91
2022,1,32,American Family Field,158,MIL,Brewers,17282,98,96,121
2022,1,3312,Target Field,142,MIN,Twins,17465,100,100,97
2022,1,3289,Citi Field,121,NYM,Mets,17676,96,92,85
2022,1,3313,Yankee Stadium,147,NYY,Yankees,18417,98,96,113
2022,1,2681,Citizens Bank Park,143,PHI,Phillies,18958,103,106,113
2022,1,31,PNC Park,134,PIT,Pirates,17524,101,102,92
2022,1,2680,Petco Park,135,SD,Padres,18329,92,85,95
2022,1,680,T-Mobile Park,136,SEA,Mariners,17516,93,86,108
2022,1,2395,Oracle Park,137,SF,Giants,17437,100,100,74
2022,1,2889,Busch Stadium,138,STL,Cardinals,17707,98,96,92
2022,1,12,Tropicana Field,139,TB,Rays,16965,96,92,91
2022,1,5325,Globe Life Field,140,TEX,Rangers,17245,102,104,113
2022,1,14,Rogers Centre,141,TOR,Blue Jays,17499,103,106,117
2022,1,3309,Nationals Park,120,WSH,Nationals,17607,102,104,113
2022,3,10,Oakland Coliseum,133,ATH,Athletics,44296,94,88,80
2022,3,4705,Truist Park,144,ATL,Braves,45214,100,100,104
2022,3,15,Chase Field,109,AZ,D-backs,43228,102,104,86
2022,3,2,Oriole Park at Camden Yards,110,BAL,Orioles,43219,102,104,108
2022,3,3,Fenway Park,111,BOS,Red Sox,45715,109,119,99
2022,3,17,Wrigley Field,112,CHC,Cubs,44544,100,100,103
2022,3,2602,Great American Ball Park,113,CIN,Reds,44123,108,117,139
2022,3,5,Progressive Field,114,CLE,Guardians,43521,98,96,98
2022,3,19,Coors Field,115,COL,Rockies,43752,111,123,108
2022,3,4,Rate Field,145,CWS,White Sox,43398,101,102,113
2022,3,2394,Comerica Park,116,DET,Tigers,41867,97,94,76
2022,3,2392,Daikin Park,117,HOU,Astros,45997,98,96,100
2022,3,7,Kauffman Stadium,118,KC,Royals,42948,103,106,80
2022,3,1,Angel Stadium,108,LAA,Angels,43842,102,104,114
2022,3,22,UNIQLO Field at Dodger Stadium,119,LAD,Dodgers,46427,100,100,126
2022,3,4169,loanDepot park,146,MIA,Marlins,41642,97,94,84
2022,3,32,American Family Field,158,MIL,Brewers,43225,98,96,110
2022,3,3312,Target Field,142,MIN,Twins,44638,99,98,100
2022,3,3289,Citi Field,121,NYM,Mets,43229,97,94,95
2022,3,3313,Yankee Stadium,147,NYY,Yankees,44389,98,96,115
2022,3,2681,Citizens Bank Park,143,PHI,Phillies,44904,103,106,113
2022,3,31,PNC Park,134,PIT,Pirates,43823,101,102,84
2022,3,2680,Petco Park,135,SD,Padres,48387,96,92,100
2022,3,680,T-Mobile Park,136,SEA,Mariners,42208,92,85,100
2022,3,2395,Oracle Park,137,SF,Giants,44483,100,100,83
2022,3,2889,Busch Stadium,138,STL,Cardinals,41562,96,92,84
2022,3,12,Tropicana Field,139,TB,Rays,43569,94,88,87
2022,3,5325,Globe Life Field,140,TEX,Rangers,48364,100,100,101
2022,3,14,Rogers Centre,141,TOR,Blue Jays,27640,101,102,111
2022,3,3309,Nationals Park,120,WSH,Nationals,43507,102,104,108
2023,1,10,Oakland Coliseum,133,ATH,Athletics,17675,96,92,88
2023,1,4705,Truist Park,144,ATL,Braves,18058,103,106,119
2023,1,15,Chase Field,109,AZ,D-backs,19262,99,98,79
2023,1,2,Oriole Park at Camden Yards,110,BAL,Orioles,17765,96,92,91
2023,1,3,Fenway Park,111,BOS,Red Sox,17912,108,117,92
2023,1,17,Wrigley Field,112,CHC,Cubs,17628,101,102,105
2023,1,2602,Great American Ball Park,113,CIN,Reds,17755,102,104,127
2023,1,5,Progressive Field,114,CLE,Guardians,17571,94,88,67
2023,1,19,Coors Field,115,COL,Rockies,18282,113,128,103
2023,1,4,Rate Field,145,CWS,White Sox,18157,99,98,98
