batter,year,milb_aaa_pa_prior,milb_aaa_iso_prior,milb_aaa_kpct_prior,milb_aaa_bbpct_prior
445615,2017,221,0.1275510204081632,0.167420814479638,0.1040723981900452
445615,2018,373,0.1993569131832797,0.1528150134048257,0.1394101876675603
446001,2017,198,0.1027027027027027,0.1666666666666666,0.0505050505050505
446024,2017,325,0.0850340136054421,0.1169230769230769,0.0646153846153846
446044,2017,134,0.2075471698113207,0.1865671641791045,0.1791044776119403
446044,2018,381,0.1534090909090909,0.2493438320209973,0.0708661417322834
446044,2020,509,0.2138084632516703,0.2141453831041257,0.106090373280943
446192,2016,355,0.1151515151515151,0.2845070422535211,0.0647887323943662
446192,2017,329,0.1170568561872909,0.1914893617021276,0.0790273556231003
446192,2018,277,0.1311475409836065,0.3140794223826715,0.0902527075812274
446192,2019,208,0.1275510204081632,0.2403846153846154,0.0528846153846153
446192,2020,167,0.1164383561643835,0.3233532934131736,0.1197604790419161
446208,2016,67,0.0,0.1791044776119403,0.1641791044776119
446225,2016,323,0.086021505376344,0.1362229102167182,0.1207430340557275
446225,2017,132,0.0347826086956521,0.1515151515151515,0.0984848484848484
446263,2020,114,0.101010101010101,0.2982456140350877,0.087719298245614
446381,2016,379,0.0778097982708933,0.1160949868073878,0.0580474934036939
446395,2016,455,0.2014742014742014,0.2857142857142857,0.0945054945054945
446395,2017,469,0.244131455399061,0.3304904051172708,0.0874200426439232
446395,2018,462,0.2703412073490813,0.2683982683982684,0.158008658008658
446612,2016,194,0.1511627906976744,0.3556701030927835,0.0876288659793814
446653,2019,151,0.25,0.2052980132450331,0.119205298013245
446653,2020,374,0.191044776119403,0.2620320855614973,0.0935828877005347
446868,2016,50,0.05,0.14,0.16
446868,2018,157,0.0684931506849315,0.1401273885350318,0.0509554140127388
446868,2019,144,0.1029411764705882,0.1319444444444444,0.0347222222222222
446868,2020,214,0.1581632653061224,0.1401869158878504,0.0747663551401869
446936,2016,187,0.1280487804878048,0.1497326203208556,0.0962566844919786
447638,2016,327,0.1612903225806451,0.128440366972477,0.0886850152905198
447638,2017,330,0.1666666666666666,0.1212121212121212,0.0666666666666666
447638,2018,428,0.125,0.0864485981308411,0.0911214953271028
447638,2020,378,0.1807580174927113,0.1111111111111111,0.0661375661375661
447736,2016,161,0.0709219858156028,0.217391304347826,0.1180124223602484
447736,2018,337,0.1519434628975265,0.2670623145400593,0.14540059347181
447825,2016,133,0.1363636363636363,0.150375939849624,0.1578947368421052
448170,2016,157,0.1571428571428571,0.2738853503184713,0.0891719745222929
448170,2017,483,0.1682464454976303,0.2795031055900621,0.0890269151138716
448242,2016,364,0.077639751552795,0.0961538461538461,0.0879120879120879
448296,2016,442,0.104325699745547,0.1923076923076923,0.1018099547511312
448296,2017,394,0.1229050279329608,0.2131979695431472,0.0812182741116751
448605,2016,205,0.217877094972067,0.248780487804878,0.1121951219512195
448605,2017,202,0.1942857142857142,0.2772277227722772,0.1188118811881188
448605,2018,169,0.197452229299363,0.1952662721893491,0.0532544378698224
448674,2016,342,0.0498338870431893,0.1666666666666666,0.1052631578947368
448674,2017,473,0.1352657004830917,0.2050739957716701,0.095137420718816
448674,2018,254,0.0717488789237668,0.2086614173228346,0.0708661417322834
449082,2017,97,0.1428571428571428,0.1855670103092783,0.0618556701030927
449102,2016,246,0.1704035874439461,0.2357723577235772,0.0609756097560975
449107,2018,196,0.0842696629213483,0.1224489795918367,0.0510204081632653
449168,2016,423,0.2162921348314606,0.2907801418439716,0.1347517730496454
449168,2017,248,0.2369668246445497,0.2862903225806452,0.1290322580645161
449168,2018,428,0.0991735537190082,0.3247663551401869,0.1285046728971962
449172,2016,360,0.103125,0.2305555555555555,0.075
449172,2018,114,0.04,0.2280701754385964,0.1052631578947368
449181,2016,182,0.1176470588235294,0.1758241758241758,0.0439560439560439
449181,2018,129,0.1379310344827586,0.2015503875968992,0.0697674418604651
449181,2019,311,0.1972318339100346,0.1864951768488746,0.0546623794212218
449181,2020,367,0.1834862385321101,0.2316076294277929,0.0599455040871934
449786,2017,196,0.1366120218579235,0.2755102040816326,0.0408163265306122
450175,2016,428,0.163538873994638,0.1238317757009345,0.0981308411214953
450175,2017,433,0.1561712846347607,0.1339491916859122,0.0600461893764434
450175,2018,349,0.1335403726708074,0.1289398280802292,0.0573065902578796
450175,2020,210,0.1043956043956044,0.1380952380952381,0.0952380952380952
450192,2016,198,0.0759493670886076,0.1767676767676767,0.1616161616161616
450204,2016,53,0.0222222222222222,0.1320754716981132,0.1320754716981132
450315,2016,466,0.2044334975369458,0.1974248927038626,0.1094420600858369
450315,2017,268,0.0909090909090909,0.1940298507462686,0.1231343283582089
450317,2016,405,0.2161458333333333,0.3086419753086419,0.037037037037037
450317,2017,372,0.1792717086834734,0.2795698924731182,0.0241935483870967
450641,2016,443,0.0563002680965147,0.2167042889390519,0.1196388261851015
