batter,pa,woba,est_woba,year,gap
452655,275,0.348,0.36,2015,-0.01200000000000001
452655,637,0.312,0.324,2016,-0.01200000000000001
452655,542,0.325,0.327,2017,-0.0020000000000000018
452655,501,0.33,0.335,2018,-0.0050000000000000044
452657,75,0.162,0.228,2016,-0.066
452672,200,0.301,0.286,2015,0.015000000000000013
452672,113,0.212,0.212,2016,0.0
452672,112,0.289,0.256,2017,0.032999999999999974
452678,551,0.319,0.292,2015,0.027000000000000024
452678,568,0.345,0.317,2016,0.02799999999999997
452678,540,0.338,0.331,2017,0.007000000000000006
452678,592,0.332,0.321,2018,0.01100000000000001
452678,514,0.331,0.317,2019,0.014000000000000012
452678,213,0.319,0.317,2020,0.0020000000000000018
452678,352,0.297,0.288,2021,0.009000000000000008
453056,499,0.294,0.298,2015,-0.0040000000000000036
453056,616,0.308,0.307,2016,0.0010000000000000009
453056,405,0.326,0.318,2017,0.008000000000000007
453064,534,0.335,0.32,2015,0.015000000000000013
453064,544,0.327,0.351,2016,-0.023999999999999966
453064,260,0.292,0.289,2017,0.0030000000000000027
453203,197,0.275,0.269,2015,0.006000000000000005
453203,111,0.227,0.239,2016,-0.011999999999999983
453211,140,0.289,0.22,2015,0.06899999999999998
453269,94,0.179,0.195,2015,-0.016000000000000014
453286,77,0.205,0.194,2015,0.010999999999999982
453286,85,0.183,0.148,2016,0.035
453286,72,0.192,0.207,2017,-0.014999999999999986
453286,78,0.244,0.216,2018,0.027999999999999997
453400,255,0.274,0.299,2015,-0.024999999999999967
453400,264,0.267,0.307,2016,-0.03999999999999998
453539,325,0.255,0.263,2015,-0.008000000000000007
453568,682,0.345,0.317,2015,0.02799999999999997
453568,641,0.394,0.362,2016,0.03200000000000003
453568,724,0.415,0.372,2017,0.04299999999999998
453568,696,0.368,0.346,2018,0.02200000000000002
453568,634,0.387,0.367,2019,0.020000000000000018
453568,247,0.34,0.331,2020,0.009000000000000008
453568,582,0.333,0.358,2021,-0.024999999999999967
453568,577,0.317,0.304,2022,0.013000000000000012
453568,413,0.35,0.339,2023,0.010999999999999954
453568,499,0.323,0.309,2024,0.014000000000000012
453895,103,0.267,0.193,2015,0.07400000000000001
453923,372,0.337,0.325,2015,0.01200000000000001
453923,273,0.272,0.273,2016,-0.0010000000000000009
453923,256,0.308,0.299,2017,0.009000000000000008
453923,203,0.254,0.263,2018,-0.009000000000000008
453943,678,0.342,0.331,2015,0.01100000000000001
453943,666,0.326,0.314,2016,0.01200000000000001
453943,576,0.335,0.355,2017,-0.019999999999999962
453943,472,0.302,0.304,2018,-0.0020000000000000018
453943,499,0.328,0.312,2019,0.016000000000000014
