pitcher,year,split_day,ros_park_factor_weighted,n_ros_games
657376,2025,44,1.0050406504065041,123
657746,2025,44,1.0087704918032787,122
663436,2025,44,0.9954098360655738,122
663460,2025,44,1.0150413223140498,121
663554,2025,44,0.9912295081967213,122
663559,2025,44,1.0044262295081967,122
663568,2025,44,0.9808870967741935,124
663623,2025,44,1.0000819672131147,122
663855,2025,44,0.9873770491803279,122
663903,2025,44,1.023719008264463,121
663978,2025,44,1.0087704918032787,122
664062,2025,44,1.0022950819672132,122
664285,2025,44,0.9995161290322581,124
665152,2025,44,0.9891935483870967,124
665795,2025,44,1.0062903225806452,124
666142,2025,44,1.0150413223140498,121
666157,2025,44,1.023719008264463,121
666200,2025,44,1.0073983739837398,123
667755,2025,44,0.9975806451612903,124
668678,2025,44,1.0077049180327868,122
668881,2025,44,1.023719008264463,121
668909,2025,44,0.9818699186991869,123
668964,2025,44,0.9825409836065574,122
669022,2025,44,1.0000819672131147,122
669060,2025,44,0.9954098360655738,122
669160,2025,44,1.0022950819672132,122
669203,2025,44,1.0077049180327868,122
669302,2025,44,0.952258064516129,124
669358,2025,44,0.9825203252032519,123
669372,2025,44,0.9835245901639343,122
669373,2025,44,0.9912295081967213,122
669387,2025,44,1.0044262295081967,122
669461,2025,44,0.9971311475409836,122
669467,2025,44,0.9971311475409836,122
669854,2025,44,0.9995161290322581,124
670102,2025,44,1.0026016260162602,123
671096,2025,44,1.023719008264463,121
671106,2025,44,0.9818699186991869,123
671737,2025,44,0.9825203252032519,123
672456,2025,44,0.9912295081967213,122
673540,2025,44,0.9887704918032787,122
674370,2025,44,0.9835245901639343,122
676106,2025,44,0.952258064516129,124
676263,2025,44,1.0022950819672132,122
676440,2025,44,0.9818699186991869,123
676664,2025,44,0.9835245901639343,122
676962,2025,44,0.9895901639344262,122
676974,2025,44,1.0062903225806452,124
676979,2025,44,1.0288429752066117,121
677958,2025,44,0.9997540983606558,122
678368,2025,44,1.0062903225806452,124
678394,2025,44,1.0288429752066117,121
680573,2025,44,1.0087704918032787,122
680684,2025,44,0.9835245901639343,122
680730,2025,44,1.0000819672131147,122
680732,2025,44,0.9954098360655738,122
680885,2025,44,0.9999186991869918,123
681190,2025,44,0.9808870967741935,124
681293,2025,44,0.9995161290322581,124
681343,2025,44,0.9954098360655738,122
