batter,year,game_date,team_id,pa,ab,k,bb,h,hr,tb,r,rbi,sb,hbp,fp
136860,2017,2017-05-29,117,6,5,0,1,4,1,7,3,3,0,0,14
136860,2017,2017-05-30,117,5,4,1,1,0,0,0,0,0,0,0,0
136860,2017,2017-06-02,117,5,5,1,0,1,0,1,1,0,0,0,1
136860,2017,2017-06-03,117,5,5,0,0,3,1,6,1,3,0,0,10
136860,2017,2017-06-04,117,5,4,2,1,1,0,2,1,1,0,0,3
136860,2017,2017-06-05,117,4,4,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-06-06,117,5,5,3,0,1,1,4,2,2,0,0,5
136860,2017,2017-06-07,117,5,5,2,0,1,0,2,1,0,0,0,1
136860,2017,2017-06-09,117,4,4,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-06-10,117,4,4,0,0,1,0,2,0,0,0,0,2
136860,2017,2017-06-11,117,5,5,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-06-12,117,4,3,0,1,0,0,0,1,0,0,0,2
136860,2017,2017-06-14,117,5,4,1,1,1,0,1,1,2,0,0,4
136860,2017,2017-06-16,117,1,1,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-06-17,117,4,3,0,0,2,1,6,1,3,0,0,10
136860,2017,2017-06-18,117,5,4,1,1,1,0,1,0,1,0,0,2
136860,2017,2017-06-19,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-06-20,117,5,4,0,1,2,1,5,2,1,0,0,9
136860,2017,2017-06-22,117,5,4,2,0,0,0,0,1,1,0,0,0
136860,2017,2017-06-23,117,4,4,0,0,2,0,4,0,0,0,0,4
136860,2017,2017-06-24,117,4,2,0,2,1,0,1,0,0,0,0,3
136860,2017,2017-06-25,117,4,3,0,1,0,0,0,0,0,0,0,1
136860,2017,2017-06-28,117,5,5,0,0,1,0,1,1,0,0,0,2
136860,2017,2017-06-29,117,4,4,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-06-30,117,4,4,1,0,0,0,0,0,1,0,0,0
136860,2017,2017-07-01,117,4,3,2,1,0,0,0,0,0,0,0,-1
136860,2017,2017-07-02,117,5,5,1,0,2,0,3,2,0,0,0,4
136860,2017,2017-07-05,117,1,1,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-07-06,117,4,4,1,0,1,1,4,1,1,0,0,5
136860,2017,2017-07-07,117,5,5,1,0,1,0,1,0,1,0,0,1
136860,2017,2017-07-09,117,6,4,2,2,0,0,0,0,0,0,0,0
136860,2017,2017-07-14,117,5,4,0,1,2,0,3,1,0,0,0,5
136860,2017,2017-07-15,117,4,4,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-07-17,117,4,4,2,0,2,1,5,1,2,0,0,6
136860,2017,2017-07-18,117,4,3,1,1,0,0,0,0,0,0,0,0
136860,2017,2017-07-19,117,4,4,3,0,0,0,0,0,0,0,0,-3
136860,2017,2017-07-21,117,5,5,1,0,1,0,1,1,1,0,0,2
136860,2017,2017-07-22,117,5,4,1,0,1,0,1,1,1,0,0,2
136860,2017,2017-07-24,117,3,3,0,0,1,0,1,0,2,0,0,3
136860,2017,2017-07-26,117,4,4,1,0,2,0,2,0,0,0,0,1
136860,2017,2017-07-28,117,4,4,1,0,2,0,3,0,0,0,0,2
136860,2017,2017-07-29,117,4,4,1,0,1,0,1,1,0,0,0,1
136860,2017,2017-07-31,117,5,4,0,1,2,0,3,2,0,0,0,6
136860,2017,2017-08-01,117,4,4,0,0,2,1,5,2,2,0,0,9
136860,2017,2017-08-02,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-08-03,117,1,1,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-08-04,117,5,5,0,0,2,0,3,2,0,0,0,5
136860,2017,2017-08-05,117,4,4,2,0,1,0,1,0,0,0,0,-1
136860,2017,2017-08-06,117,5,5,0,0,3,0,3,1,1,0,0,5
136860,2017,2017-08-08,117,5,5,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-08-09,117,4,4,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-08-10,117,1,1,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-08-11,117,4,4,2,0,1,0,2,0,1,0,0,1
136860,2017,2017-08-12,117,4,4,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-08-13,117,4,3,0,1,1,0,1,0,1,0,0,3
136860,2017,2017-08-15,117,1,1,0,0,0,0,0,0,0,0,0,0
136860,2017,2017-08-16,117,4,3,0,0,2,1,5,1,2,0,0,8
136860,2017,2017-08-17,117,3,3,1,0,0,0,0,0,0,0,0,-1
136860,2017,2017-08-18,117,3,2,0,1,0,0,0,0,0,0,0,1
136860,2017,2017-08-19,117,3,3,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-08-20,117,1,1,0,0,1,0,1,0,0,0,0,1
136860,2017,2017-08-22,117,4,3,0,1,1,0,2,1,0,0,0,4
136860,2017,2017-08-23,117,4,3,0,1,0,0,0,0,0,0,0,1
136860,2017,2017-08-24,117,4,3,0,1,1,0,2,1,0,0,0,4
136860,2017,2017-08-25,117,4,4,2,0,0,0,0,0,0,0,0,-2
136860,2017,2017-08-26,117,4,4,1,0,0,0,0,0,0,0,0,-1
