pitcher,year,split_day,cutoff_date,fps_pct_last100pa,putaway_pct_last50pa,fps_pct_to_sd,putaway_pct_to_sd,fps_pct_delta_l100,putaway_pct_delta_l50
453329,2018,60,2018-05-28,,,,,,
453329,2018,90,2018-06-27,0.7,0.46,0.6797385620915033,0.4189189189189189,0.02026143790849666,0.041081081081081106
453329,2018,120,2018-07-27,0.71,0.36,0.6777777777777778,0.4186046511627907,0.03222222222222215,-0.05860465116279073
453329,2019,30,2019-04-19,,,,,,
453329,2019,60,2019-05-19,0.68,,0.6666666666666666,0.2608695652173913,0.01333333333333342,
453329,2019,90,2019-06-18,0.68,,0.6666666666666666,0.2608695652173913,0.01333333333333342,
453329,2019,120,2019-07-18,0.68,,0.6666666666666666,0.2608695652173913,0.01333333333333342,
476451,2018,30,2018-04-28,,,0.7580645161290323,,,
476451,2018,60,2018-05-28,0.67,0.56,0.6944444444444444,0.4769230769230769,-0.02444444444444438,0.08307692307692316
476451,2018,90,2018-06-27,0.62,0.52,0.6746987951807228,0.4594594594594595,-0.05469879518072285,0.06054054054054053
476451,2018,120,2018-07-27,0.74,0.34,0.6847826086956522,0.4126984126984127,0.055217391304347774,-0.07269841269841265
476451,2019,30,2019-04-19,,,0.603448275862069,,,
477132,2018,30,2018-04-28,0.64,0.48,0.6730769230769231,0.4941176470588235,-0.033076923076923115,-0.014117647058823513
477132,2018,60,2018-05-28,0.67,0.44,0.6740331491712708,0.4897959183673469,-0.0040331491712707335,-0.049795918367346925
477132,2018,90,2018-06-27,0.67,0.44,0.6869158878504673,0.4913793103448275,-0.01691588785046727,-0.05137931034482751
477132,2018,120,2018-07-27,0.75,0.5,0.6952908587257618,0.4715025906735751,0.054709141274238204,0.028497409326424916
477132,2019,60,2019-05-19,0.71,0.36,0.7171052631578947,0.4090909090909091,-0.007105263157894726,-0.04909090909090913
477132,2019,90,2019-06-18,0.71,0.48,0.7051282051282052,0.4397590361445783,0.004871794871794788,0.040240963855421696
477132,2019,120,2019-07-18,0.68,0.5,0.6928571428571428,0.4537037037037037,-0.01285714285714279,0.04629629629629628
477132,2021,30,2021-05-01,0.63,0.52,0.6225165562913907,0.4810126582278481,0.007483443708609316,0.03898734177215191
477132,2021,60,2021-05-31,0.61,0.54,0.6334519572953736,0.5066666666666667,-0.023451957295373638,0.033333333333333326
477132,2021,90,2021-06-30,0.63,0.66,0.624390243902439,0.5540540540540541,0.005609756097560981,0.10594594594594597
477132,2021,120,2021-07-30,0.61,0.64,0.6235294117647059,0.5526315789473685,-0.013529411764705901,0.08736842105263154
477132,2022,30,2022-05-07,0.67,0.46,0.6788990825688074,0.5423728813559322,-0.008899082568807337,-0.08237288135593218
477132,2022,60,2022-06-06,0.67,0.46,0.6788990825688074,0.5423728813559322,-0.008899082568807337,-0.08237288135593218
477132,2022,90,2022-07-06,0.65,0.46,0.6576576576576577,0.5043478260869565,-0.0076576576576576905,-0.04434782608695648
477132,2022,120,2022-08-05,0.62,0.4,0.6547619047619048,0.5,-0.03476190476190477,-0.09999999999999998
477132,2023,30,2023-04-29,0.76,0.54,0.7152777777777778,0.5061728395061729,0.04472222222222222,0.03382716049382717
477132,2023,60,2023-05-29,0.67,0.48,0.6862745098039216,0.4934210526315789,-0.016274509803921533,-0.013421052631578945
477132,2023,90,2023-06-28,0.64,0.38,0.6815789473684211,0.4772727272727273,-0.04157894736842105,-0.09727272727272729
477132,2023,120,2023-07-28,0.64,0.38,0.6815789473684211,0.4772727272727273,-0.04157894736842105,-0.09727272727272729
477132,2025,60,2025-05-26,,,,,,
477132,2025,90,2025-06-25,0.67,0.44,0.6397058823529411,0.375,0.030294117647058916,0.065
477132,2025,120,2025-07-25,0.61,0.34,0.6228070175438597,0.3490566037735849,-0.012807017543859711,-0.00905660377358486
502043,2018,30,2018-04-28,0.56,0.5,0.5478260869565217,0.4838709677419355,0.012173913043478368,0.016129032258064502
502043,2018,60,2018-05-28,0.61,0.46,0.5690376569037657,0.4715447154471545,0.040962343096234255,-0.011544715447154463
502043,2018,90,2018-06-27,0.6,0.4,0.5760598503740648,0.4626865671641791,0.02394014962593516,-0.06268656716417909
502043,2018,120,2018-07-27,0.55,0.48,0.5690298507462687,0.4649446494464944,-0.019029850746268617,0.015055350553505598
502043,2019,30,2019-04-19,,,0.5142857142857142,,,
502043,2019,60,2019-05-19,0.74,0.56,0.6666666666666666,0.5,0.07333333333333336,0.06000000000000005
502043,2019,90,2019-06-18,0.67,0.52,0.6677316293929713,0.5032679738562091,0.00226837060702878,0.01673202614379088
502043,2019,120,2019-07-18,0.65,0.44,0.6540178571428571,0.4818181818181818,-0.004017857142857073,-0.04181818181818181
502043,2021,30,2021-05-01,0.52,0.42,0.5555555555555556,0.45,-0.03555555555555556,-0.030000000000000027
502043,2021,60,2021-05-31,0.61,0.34,0.5732217573221757,0.4137931034482758,0.03677824267782426,-0.07379310344827578
502043,2021,90,2021-06-30,0.64,0.42,0.5932203389830508,0.4157303370786517,0.04677966101694919,0.004269662921348283
502043,2021,120,2021-07-30,0.54,0.48,0.5869565217391305,0.4253393665158371,-0.04695652173913045,0.05466063348416289
502043,2022,30,2022-05-07,0.63,0.26,0.625,0.3939393939393939,0.0050000000000000044,-0.1339393939393939
502043,2022,60,2022-06-06,0.6,0.42,0.5892116182572614,0.3863636363636363,0.010788381742738551,0.033636363636363686
502043,2022,90,2022-07-06,0.53,0.36,0.5766016713091922,0.3770491803278688,-0.04660167130919213,-0.01704918032786884
502043,2022,120,2022-08-05,0.65,0.28,0.5845511482254697,0.3565573770491803,0.0654488517745303,-0.07655737704918025
502043,2023,30,2023-04-29,0.58,0.36,0.6099290780141844,0.3648648648648648,-0.02992907801418443,-0.004864864864864815
502043,2023,60,2023-05-29,0.63,0.34,0.6176470588235294,0.34375,0.012352941176470567,-0.0037499999999999756
502043,2023,90,2023-06-28,0.6,0.5,0.6053268765133172,0.3782383419689119,-0.0053268765133172025,0.12176165803108813
502043,2023,120,2023-07-28,0.75,0.52,0.6277777777777778,0.4031620553359684,0.12222222222222223,0.11683794466403163
502043,2024,30,2024-04-27,0.52,0.4,0.552,0.392156862745098,-0.03200000000000003,0.007843137254902044
502043,2024,60,2024-05-27,0.55,0.48,0.5609756097560976,0.4380952380952381,-0.01097560975609757,0.04190476190476189
502043,2024,90,2024-06-26,0.53,0.5,0.5631868131868132,0.4556213017751479,-0.03318681318681316,0.044378698224852076
502043,2024,120,2024-07-26,0.58,0.48,0.5704845814977973,0.4636363636363636,0.00951541850220261,0.016363636363636358
542881,2018,30,2018-04-28,0.6,0.48,0.6086956521739131,0.4655172413793103,-0.008695652173913104,0.014482758620689706
542881,2018,60,2018-05-28,0.62,0.22,0.6118143459915611,0.375,0.008185654008438847,-0.155
542881,2018,90,2018-06-27,0.65,0.4,0.6294277929155313,0.3762376237623762,0.02057220708446872,0.02376237623762384
542881,2018,120,2018-07-27,0.68,0.44,0.6330645161290323,0.4051094890510949,0.0469354838709678,0.03489051094890511
542881,2019,30,2019-04-19,,,,,,
542881,2021,30,2021-05-01,0.65,0.36,0.6454545454545455,0.3714285714285714,0.004545454545454519,-0.011428571428571399
542881,2021,60,2021-05-31,0.66,0.48,0.6398305084745762,0.4135338345864661,0.0201694915254238,0.0664661654135339
542881,2021,90,2021-06-30,0.7,0.26,0.6601671309192201,0.3692307692307692,0.039832869080779876,-0.10923076923076919
542881,2021,120,2021-07-30,0.71,0.44,0.6728538283062645,0.3856502242152466,0.037146171693735464,0.05434977578475342
542881,2022,30,2022-05-07,,0.42,0.6263736263736264,0.4074074074074074,,0.0125925925925926
542881,2022,60,2022-06-06,0.73,0.5,0.6940639269406392,0.4568965517241379,0.03593607305936075,0.0431034482758621
542881,2022,90,2022-07-06,0.59,0.3,0.6607669616519174,0.3945945945945946,-0.07076696165191743,-0.09459459459459463
542881,2022,120,2022-08-05,0.58,0.34,0.6383442265795207,0.3805668016194332,-0.058344226579520764,-0.04056680161943316
542881,2023,30,2023-04-29,0.62,0.36,0.6333333333333333,0.3461538461538461,-0.013333333333333308,0.013846153846153897
542881,2023,60,2023-05-29,0.53,0.22,0.5863636363636363,0.2815533980582524,-0.05636363636363628,-0.06155339805825241
542881,2023,90,2023-06-28,0.59,0.54,0.5922619047619048,0.3619631901840491,-0.0022619047619047983,0.17803680981595094
542881,2023,120,2023-07-28,0.54,0.46,0.5866983372921615,0.3701923076923077,-0.04669833729216144,0.08980769230769231
542881,2024,30,2024-04-27,0.57,0.34,0.5901639344262295,0.3559322033898305,-0.020163934426229546,-0.01593220338983048
542881,2024,60,2024-05-27,0.6,0.4,0.622568093385214,0.3793103448275862,-0.02256809338521404,0.020689655172413834
542881,2024,90,2024-06-26,0.46,0.24,0.573170731707317,0.3316326530612244,-0.11317073170731701,-0.09163265306122442
542881,2024,120,2024-07-26,0.56,0.48,0.5722772277227722,0.3588709677419355,-0.012277227722772177,0.12112903225806448
542881,2025,30,2025-04-26,0.54,0.36,0.5625,0.3384615384615385,-0.022499999999999964,0.021538461538461506
542881,2025,60,2025-05-26,0.56,0.34,0.5702127659574469,0.3385826771653543,-0.010212765957446801,0.00141732283464574
542881,2025,90,2025-06-25,0.6,0.4,0.5718085106382979,0.3465346534653465,0.028191489361702127,0.05346534653465351
542881,2025,120,2025-07-25,0.63,0.4,0.5840336134453782,0.3524590163934426,0.04596638655462182,0.047540983606557397
544150,2024,30,2024-04-27,,,,,,
544150,2024,60,2024-05-27,0.61,0.4,0.6,0.3934426229508196,0.010000000000000009,0.006557377049180413
544150,2024,90,2024-06-26,0.59,0.36,0.6086956521739131,0.3706896551724138,-0.018695652173913113,-0.010689655172413826
544150,2024,120,2024-07-26,0.56,0.4,0.5878594249201278,0.3892617449664429,-0.027859424920127718,0.010738255033557131
547179,2022,30,2022-05-07,0.64,0.36,0.6173913043478261,0.375,0.022608695652173938,-0.015000000000000013
547179,2022,60,2022-06-06,0.66,0.4,0.6372093023255814,0.3846153846153846,0.02279069767441866,0.015384615384615441
547179,2022,90,2022-07-06,0.68,0.32,0.6447368421052632,0.3594771241830065,0.035263157894736885,-0.03947712418300647
547179,2022,120,2022-08-05,0.68,0.32,0.6447368421052632,0.3594771241830065,0.035263157894736885,-0.03947712418300647
547179,2023,30,2023-04-29,,,0.6461538461538462,0.4411764705882353,,
547179,2023,60,2023-05-29,0.74,0.36,0.7043010752688172,0.3398058252427184,0.035698924731182746,0.02019417475728158
547179,2023,90,2023-06-28,0.67,0.42,0.6881028938906752,0.3647798742138364,-0.01810289389067521,0.05522012578616359
547179,2023,120,2023-07-28,0.7,0.48,0.6866028708133971,0.386046511627907,0.013397129186602852,0.093953488372093
547179,2024,30,2024-04-27,,,0.5942028985507246,0.35,,
547179,2024,60,2024-05-27,0.57,0.4,0.5833333333333334,0.3673469387755102,-0.01333333333333342,0.0326530612244898
547179,2024,90,2024-06-26,0.63,0.24,0.5849673202614379,0.3461538461538461,0.045032679738562065,-0.1061538461538461
547179,2024,120,2024-07-26,0.6,0.42,0.5934343434343434,0.3636363636363636,0.006565656565656552,0.056363636363636394
547179,2025,30,2025-04-26,0.6,0.36,0.6065573770491803,0.3934426229508196,-0.006557377049180357,-0.03344262295081962
547179,2025,60,2025-05-26,0.62,0.4,0.6066176470588235,0.4047619047619047,0.013382352941176512,-0.0047619047619046895
547179,2025,90,2025-06-25,0.63,0.36,0.6201117318435754,0.3976608187134502,0.009888268156424629,-0.03766081871345023
547179,2025,120,2025-07-25,0.6,0.46,0.611764705882353,0.4117647058823529,-0.01176470588235301,0.0482352941176471
547179,2026,30,2026-04-25,0.64,0.26,0.6312056737588653,0.2753623188405797,0.008794326241134742,-0.015362318840579703
547179,2026,59,2026-05-22,0.64,0.38,0.6329113924050633,0.3302752293577982,0.00708860759493668,0.04972477064220182
593958,2018,30,2018-04-28,,0.36,0.5425531914893617,0.4181818181818181,,-0.05818181818181811
593958,2018,60,2018-05-28,0.6,0.42,0.5775862068965517,0.4609929078014184,0.022413793103448265,-0.0409929078014184
593958,2018,90,2018-06-27,0.64,0.36,0.6147308781869688,0.4354066985645933,0.025269121813031203,-0.07540669856459331
593958,2018,120,2018-07-27,0.63,0.36,0.6171171171171171,0.4208494208494208,0.012882882882882862,-0.0608494208494208
593958,2019,30,2019-04-19,,0.4,0.5957446808510638,0.4038461538461538,,-0.003846153846153777
593958,2019,60,2019-05-19,0.65,0.5,0.6301369863013698,0.448,0.019863013698630194,0.05199999999999999
593958,2019,90,2019-06-18,0.68,0.44,0.6460176991150443,0.4352331606217616,0.033982300884955796,0.004766839378238408
593958,2019,120,2019-07-18,0.59,0.42,0.6321138211382114,0.425531914893617,-0.04211382113821138,-0.00553191489361704
593958,2021,30,2021-05-01,0.67,0.54,0.6666666666666666,0.5535714285714286,0.0033333333333334103,-0.013571428571428568
593958,2021,60,2021-05-31,0.65,0.42,0.6563876651982379,0.464,-0.006387665198237857,-0.04400000000000004
593958,2021,90,2021-06-30,0.67,0.52,0.6558823529411765,0.4818652849740932,0.014117647058823568,0.03813471502590682
593958,2021,120,2021-07-30,0.63,0.54,0.648960739030023,0.4898785425101215,-0.018960739030023044,0.05012145748987856
593958,2022,30,2022-05-07,0.63,0.38,0.6592592592592592,0.382716049382716,-0.029259259259259207,-0.002716049382715968
593958,2022,60,2022-06-06,0.68,0.38,0.6686390532544378,0.3505154639175257,0.011360946745562206,0.02948453608247431
593958,2022,90,2022-07-06,0.68,0.38,0.6686390532544378,0.3505154639175257,0.011360946745562206,0.02948453608247431
