team_abbr,year,n_lhb_pa,n_rhb_pa,n_pa,pct_lhb,pct_rhb
TB,2026,631,633,1264,0.49920886075949367,0.5007911392405063
TEX,2022,2989,3053,6042,0.4947037404832837,0.5052962595167163
TEX,2023,3105,3210,6315,0.4916864608076009,0.5083135391923991
TEX,2024,2967,3091,6058,0.4897655992076593,0.5102344007923407
TEX,2025,2378,3679,6057,0.3926035991414892,0.6073964008585108
TEX,2026,640,634,1274,0.5023547880690737,0.4976452119309262
TOR,2022,1019,5153,6172,0.16510045366169798,0.834899546338302
TOR,2023,1840,4392,6232,0.2952503209242619,0.7047496790757382
TOR,2024,1926,4138,6064,0.3176121372031662,0.6823878627968337
TOR,2025,2317,3871,6188,0.3744343891402715,0.6255656108597285
TOR,2026,522,754,1276,0.4090909090909091,0.5909090909090909
WSH,2022,2640,3366,6006,0.43956043956043955,0.5604395604395604
WSH,2023,2984,3108,6092,0.489822718319107,0.5101772816808929
WSH,2024,3182,2814,5996,0.5306871247498333,0.4693128752501668
WSH,2025,3809,2197,6006,0.6341991341991342,0.3658008658008658
WSH,2026,889,477,1366,0.650805270863836,0.349194729136164
