pitcher,year,own_stuff_plus,n_pitches
681217,2025,93.39200794470135,212
682120,2025,93.36926621129497,805
800048,2025,93.34821895885996,625
502043,2025,93.34389274018321,280
518876,2025,93.29894273266852,2833
650893,2025,93.26953094107463,730
663559,2025,93.24322848263174,2014
686730,2025,93.06834942451917,294
681892,2025,93.0661326571026,725
663574,2025,93.03262371929381,1268
676254,2025,93.01949156593678,1034
701656,2025,92.99580732587054,410
608379,2025,92.96673079753289,2750
663903,2025,92.95844255733198,2943
687931,2025,92.91956425135977,408
621244,2025,92.86812501377848,2668
685107,2025,92.838576037842,499
687134,2025,92.83613408454696,1047
621112,2025,92.79917215662825,702
678024,2025,92.76864307676355,1646
592836,2025,92.75024124278278,2167
543518,2025,92.73210763318913,332
676571,2025,92.72878233215853,441
664299,2025,92.68033833455732,617
687922,2025,92.66082512163634,438
642048,2025,92.6070199756514,239
676961,2025,92.55426788431986,754
663765,2025,92.54357943105894,625
680735,2025,92.53874372101286,427
686799,2025,92.48613963970611,1935
669211,2025,92.46884716361822,1058
623437,2025,92.46162200564406,1001
663804,2025,92.35835889737156,281
641793,2025,92.35446810175077,2872
681006,2025,92.18116520932769,647
596001,2025,92.17321819530176,1080
607067,2025,92.14048882900751,2655
669084,2025,92.1054127742534,588
669711,2025,92.07982491977009,1080
672710,2025,92.01066682653796,217
663568,2025,91.90868491399614,1774
607200,2025,91.75828462715944,2445
664294,2025,91.63688458800459,285
701552,2025,91.62474076180557,361
677960,2025,91.61854065290416,642
669724,2025,91.5673315861733,984
681867,2025,91.49371486150008,299
669920,2025,91.41714852600592,1252
643361,2025,91.31697769760673,216
621107,2025,91.20796035100004,1172
680736,2025,91.1687731946302,1171
702070,2025,91.12086555786752,2164
573009,2025,91.03494614207516,211
664141,2025,90.98107901514204,469
642100,2025,90.96370009264578,1034
660761,2025,90.9533568572628,324
687362,2025,90.85499526190067,552
669060,2025,90.85260287697399,856
657514,2025,90.83307359911406,833
657006,2025,90.72704394689572,246
489119,2025,90.626051971538,205
571945,2025,90.55024200230179,2483
660853,2025,90.49499296114382,1105
656794,2025,90.47826953759335,1593
669020,2025,90.34532300404146,676
571510,2025,90.19896898378695,2901
605540,2025,90.19165377219,964
621383,2025,90.13890818540015,1136
671109,2025,89.9703819870035,302
671096,2025,89.95783929756168,2727
669620,2025,89.95689820210393,206
547179,2025,89.95361402647693,2396
608334,2025,89.93943376734633,461
664192,2025,89.93363147950011,632
519326,2025,89.88717071655464,341
667463,2025,89.67536842872298,796
700249,2025,89.66082511697348,1971
663321,2025,89.60735799055196,221
672582,2025,89.58920405951432,1120
691251,2025,89.526040846384,255
592866,2025,89.43049481319424,1448
608566,2025,89.35806422678135,2207
687888,2025,89.2125431223703,814
663399,2025,89.2074253955597,512
657756,2025,89.18172458522452,223
