player_name,category
Jesus Sanchez,FA-H
Rhett Lowder,FA-SP
Dominic Smith,FA-H
Kyle Leahy,FA-RP
Kumar Rocker,FA-SP
Kyle Manzardo,FA-H
JR Ritchie,FA-SP
Brett Baty,FA-H
Mark Vientos,FA-H
Zack Littell,FA-SP
Brandon Valenzuela,FA-H
Aaron Civale,FA-SP
Matt Shaw,FA-H
Brayan Bello,FA-SP
Tomoyuki Sugano,FA-SP
Daniel Schneemann,FA-H
Andrew Alvarez,FA-SP
Sean Manaea,FA-SP
Jack Perkins,FA-RP
Camilo Doval,FA-RP
Gary Sanchez,FA-H
Didier Fuentes,FA-SP
Carmen Mlodzinski,FA-RP
Jake Mangum,FA-H
Logan O'Hoppe,FA-H
Eduard Bazardo,FA-RP
Owen Caissie,FA-H
Moises Ballesteros,FA-H
Victor Caratini,FA-H
Clayton Beeter,FA-RP
Kyle Finnegan,FA-RP
Lance McCullers Jr.,FA-SP
Robert Gasser,FA-SP
Juan Morillo,FA-RP
Caleb Kilian,FA-RP
Mike Burrows,FA-SP
Evan Carter,FA-H
Matt Brash,FA-RP
Oswald Peraza,FA-H
Tyler Stephenson,FA-H
Marcelo Mayer,FA-H
Nolan Gorman,FA-H
Matt Strahm,FA-RP
Cedric Mullins,FA-H
Jacob Young,FA-H
Tyler Phillips,FA-RP
Nick Fortes,FA-H
Connor Prielipp,FA-SP
Miguel Andujar,FA-H
Nathaniel Lowe,FA-H
Michael Lorenzen,FA-SP
Jorge Mateo,FA-H
Joe Mack,FA-H
Rhys Hoskins,FA-H
Wade Meckler,FA-H
Jose Ferrer,FA-RP
Garrett Cleavinger,FA-RP
Kyle Isbel,FA-H
Mike Yastrzemski,FA-H
David Hamilton,FA-H
Taylor Clarke,FA-RP
Jose Fernandez,FA-H
Orion Kerkering,FA-RP
Tyler Alexander,FA-RP
Tristan Peters,FA-H
Joc Pederson,FA-H
Esteury Ruiz,FA-H
Brandon Sproat,FA-SP
Brandon Pfaadt,FA-SP
Kevin Ginkel,FA-RP
Patrick Corbin,FA-SP
Janson Junk,FA-SP
Joel Kuhnel,FA-RP
Austin Martin,FA-H
Christian Vazquez,FA-H
Leody Taveras,FA-H
Vaughn Grissom,FA-H
Coby Mayo,FA-H
Hyeseong Kim,FA-H
Braydon Fisher,FA-RP
Nathan Lukes,FA-H
Gabe Speier,FA-RP
Ryan McMahon,FA-H
Brooks Raley,FA-RP
Erick Fedde,FA-SP
Will Klein,FA-RP
Donovan Walton,FA-H
