name,nk,position,proTeam,pct_owned,eligibleSlots,trend,flags,n_pos_flags,n_neg_flags,xfp_per_pa,ros_fp,signal,repl_delta,primary_pos
Luis Garcia Jr.,luisgarciajr,2B,Wsh,20.23,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '1B', '1B/3B']",DECLINING,"['-k_pct', '-whiff_per_swing', '-ev_mean', '-hard_hit_pct', '-bat_speed_mean']",0,5,0.5016783947930775,166.1,hold,-0.064,1B
Troy Johnston,troyjohnston,RF,Col,5.28,"['1B', '1B/3B', 'IF', 'LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '-barrel_pct', '-bat_speed_mean']",2,5,0.4766910241674392,165.9,hold,-0.0106,OF
Jesus Sanchez,jesussanchez,RF,Tor,2.49,"['LF', 'RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['-k_pct', '+whiff_per_swing', '-ev_mean', '+barrel_pct', '+bat_speed_mean']",3,2,0.4895020000709767,164.5,hold,0.0022,OF
Andres Gimenez,andresgimenez,2B,Tor,16.7,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', 'SS']",slight_down,"['-whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct', '+bat_speed_mean']",1,4,0.4599440492863088,161.4,hold,-0.0652,SS
Bryson Stott,brysonstott,2B,Phi,36.68,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+whiff_per_swing', '-ev_mean', '-hard_hit_pct', '-barrel_pct']",1,3,0.512680046762604,160.5,hold,0.0,2B
Masyn Winn,masynwinn,SS,StL,7.84,"['SS', '2B/SS', 'IF', 'UTIL', 'BE', 'IL']",slight_up,"['+ev_mean', '+bat_speed_mean']",2,0,0.4342772603885355,160.2,drop,-0.0908,SS
Jeremiah Jackson,jeremiahjackson,RF,Bal,22.2,"['3B', '1B/3B', 'IF', 'RF', 'OF', 'UTIL', 'BE', 'IL', '2B', '2B/SS']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '-ev_p90', '+hard_hit_pct', '-bat_speed_mean']",4,2,0.4829744346636499,159.9,hold,-0.0297,2B
Angel Martinez,angelmartinez,CF,Cle,17.99,"['2B', '2B/SS', 'IF', 'CF', 'OF', 'UTIL', 'BE', 'IL', 'LF', 'RF']",slight_down,"['+k_pct', '-ev_mean', '-ev_p90', '-barrel_pct', '+bat_speed_mean']",2,3,0.4917736771132631,159.8,hold,0.0045,OF
Marcell Ozuna,marcellozuna,DH,Pit,5.64,"['DH', 'UTIL', 'BE', 'IL']",slight_down,"['-k_pct', '-hard_hit_pct']",0,2,0.4444787915786378,158.7,hold,0.0037,DH
Carlos Cortes,carloscortes,RF,Oak,18.22,"['RF', 'OF', 'UTIL', 'BE', 'IL']",slight_up,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+barrel_pct', '-bat_speed_mean']",5,1,0.631320297825358,156.6,add,0.144,OF
Casey Schmitt,caseyschmitt,2B,SF,21.18,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL', 'DH', '1B']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_p90', '+hard_hit_pct', '+barrel_pct', '+bat_speed_mean']",6,0,0.4847725771716854,156.1,drop,-0.0809,1B
Kerry Carpenter,kerrycarpenter,RF,Det,11.59,"['LF', 'RF', 'OF', 'DH', 'UTIL', 'BE', 'IL']",stable,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90']",2,2,0.4809267180817403,154.9,hold,-0.0063,OF
Nick Gonzales,nickgonzales,2B,Pit,4.23,"['2B', '2B/SS', 'IF', 'UTIL', 'BE', 'IL', '3B', '1B/3B']",slight_up,"['+hard_hit_pct', '+bat_speed_mean']",2,0,0.413448608234284,153.8,drop,-0.0946,3B
Brooks Lee,brookslee,SS,Min,21.24,"['2B', '3B', 'SS', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",slight_down,"['+k_pct', '+whiff_per_swing', '-ev_mean', '-ev_p90', '-hard_hit_pct']",2,3,0.4374568259378856,153.5,drop,-0.0876,SS
Luis Rengifo,luisrengifo,3B,Mil,0.7,"['2B', '3B', '2B/SS', '1B/3B', 'IF', 'UTIL', 'BE', 'IL']",IMPROVING,"['+k_pct', '+whiff_per_swing', '+ev_mean', '+ev_p90', '+hard_hit_pct', '+barrel_pct']",6,0,0.4769134827748633,152.1,hold,-0.0311,3B
