pitcher,player_name,pitch_type,pitch_group,pitches,plv,plv_raw,avg_velo,swing_rate,whiff_rate,e_xwoba_in_play,plv_pctile
663436,"Martin, Davis",ST,Breaking,107,5.111686332017907,-0.05156192917512431,83.4785046728972,0.45847146574325354,0.46702004598217356,0.3184331068883738,55.3
641401,"Brogdon, Connor",FC,Fastball,136,5.111059329868623,-0.05158467404592533,86.81470588235295,0.40023485294274075,0.3874811347759262,0.3217276119806818,55.3
641401,"Brogdon, Connor",FF,Fastball,352,5.110982917567832,-0.051587445946964294,95.46392045454546,0.48539230840997777,0.27089798277861016,0.3698098697133883,55.2
669432,"Rogers, Trevor",FC,Fastball,191,5.110502839283674,-0.051604861068363934,81.2303664921466,0.4330294092675812,0.4184862746803116,0.3232026056853788,55.2
614179,"Ruiz, José",CH,Offspeed,52,5.1104367456386735,-0.05160725865411074,88.94615384615386,0.5675933728217485,0.4230709839129705,0.3035659214357423,55.2
804636,"Tong, Jonah",CU,Breaking,46,5.109177631256417,-0.05165293376699642,77.4608695652174,0.47819409344957015,0.3405153159269386,0.3222130245645081,55.1
641941,"Pagán, Emilio",FS,Offspeed,219,5.108136076334853,-0.051690716782812486,83.87990867579907,0.5500434816625422,0.4249948704838109,0.30983432889613716,55.1
500779,"Quintana, Jose",CU,Breaking,310,5.1078710081693695,-0.051700332286019564,78.22741935483872,0.42857254293307767,0.3688248102438771,0.3258323278293169,55.1
669020,"Rolison, Ryan",CU,Breaking,226,5.107793471744957,-0.051703144965302664,79.50530973451328,0.43143636844428024,0.32425478707700717,0.3303721761629529,55.0
685326,"Brown, McCade",FF,Fastball,286,5.107786101016226,-0.05170341234281145,94.33986013986022,0.4626980917335817,0.2842818871030606,0.36183736479791845,55.0
690990,"Horton, Cade",ST,Breaking,387,5.107606600922037,-0.051709923814033346,83.36072351421183,0.4902486131252476,0.4562439607066072,0.31319964285312807,55.0
694477,"Patrick, Chad",CH,Offspeed,134,5.107422772323819,-0.05171659230427812,88.69850746268656,0.41644778684148626,0.46125794020712446,0.2884901541142417,54.9
660730,"Rodríguez, Elvin",CU,Breaking,70,5.107111760279086,-0.05172787444865848,78.68428571428568,0.40938044286747766,0.36999435745835174,0.3267637414589891,54.9
594902,"Lively, Ben",ST,Breaking,78,5.106969096046799,-0.0517330496773798,78.50641025641026,0.45887634456930815,0.3712301579326735,0.3202795143963826,54.9
621112,"Blackburn, Paul",FF,Fastball,26,5.10601078468101,-0.0517678129843747,92.4769230769231,0.3809054738237153,0.28849161956668057,0.35174606559566945,54.8
806185,"Birdsong, Hayden",CH,Offspeed,201,5.1055045242742585,-0.05178617787763126,88.7208955223881,0.48374005826884503,0.49232056620025677,0.3077822894096677,54.8
663878,"Pearson, Nate",SL,Breaking,107,5.105373893290719,-0.0517909165931949,89.41775700934578,0.5035945974437566,0.4117468469676435,0.3323207562339062,54.8
673513,"Matsui, Yuki",FS,Offspeed,348,5.105260015775202,-0.051795047566877375,83.98275862068961,0.5077400488391192,0.49270092045238156,0.30089027610138996,54.7
608032,"Estévez, Carlos",SL,Breaking,339,5.104829880328339,-0.051810650982554655,87.31327433628317,0.48365804915081634,0.3782792179307928,0.33063875701164575,54.7
676272,"Miller, Bobby",FF,Fastball,31,5.104658844888813,-0.05181685539346277,97.59032258064516,0.5284960396179413,0.18750222916209033,0.3733560051951376,54.7
675911,"Strider, Spencer",FF,Fastball,1081,5.103950193095092,-0.05184256215301615,95.50379278445862,0.5037677896218211,0.2647021503291688,0.3708402715850797,54.6
681151,"Murray, Jayden",FF,Fastball,83,5.103606355152001,-0.051855035076116905,96.17228915662649,0.5055595612062811,0.27654534219761107,0.3511632955207419,54.6
615698,"Quantrill, Cal",SL,Breaking,168,5.103173797162537,-0.05187072637094838,85.00654761904757,0.4912842983865281,0.45782693444137496,0.3089654250459633,54.6
