batter,total_pa,annual_rate,n_parks,hot1_park,hot1_lift,hot1_pa,hot2_park,hot2_lift,hot3_park,hot3_lift,cold1_park,cold1_lift,cold1_pa,cold2_park,cold2_lift,cold3_park,cold3_lift,player_name,team,rank
596129,1412,0.255,15,LAA,117.0,47,HOU,42.6,CIN,30.7,STL,-72.6,43,ATH,-41.9,ATL,-40.8,,,
596142,2037,0.2391,16,BAL,125.2,130,ATH,112.8,NYY,27.3,SEA,-73.3,47,TB,-61.2,MIN,-60.0,Gary Sánchez,MIL,112.0
596146,3192,0.3136,18,MIA,110.3,47,LAA,48.1,SEA,45.4,HOU,-87.4,76,NYY,-81.5,TOR,-42.4,,,
596748,1159,0.2951,6,NYM,20.4,76,PHI,15.4,ATL,-10.3,MIA,-20.5,81,BAL,-16.9,WSH,-10.8,,,
596847,1205,0.2332,8,TOR,80.0,112,CLE,52.2,BOS,49.7,CWS,-81.8,47,NYY,-64.3,MIN,-50.1,,,
598265,1472,0.1766,9,BAL,72.5,105,BOS,56.1,KC,15.7,TOR,-113.2,129,TEX,-112.3,TB,-100.0,,,
600869,3059,0.2229,24,BAL,101.4,49,TEX,86.3,LAD,79.4,SF,-100.0,41,TOR,-88.2,NYY,-84.8,,,
602104,1511,0.2204,10,LAA,47.5,40,ATH,43.3,BOS,35.6,TEX,-46.0,42,HOU,-24.4,BAL,-8.1,Ramón Urías,STL,187.0
605113,1835,0.2376,11,COL,78.8,113,STL,65.0,AZ,2.9,MIA,-51.9,70,PHI,-48.5,ATL,-36.9,,,
605119,1959,0.2445,13,STL,96.3,50,TB,67.3,PHI,44.3,LAD,-140.9,50,CIN,-74.4,COL,-64.4,,,
605131,981,0.1794,7,SD,79.5,59,SF,33.5,AZ,20.8,MIL,-48.2,43,COL,-42.3,LAD,-4.0,,,
605137,3933,0.3285,22,LAA,69.9,43,STL,41.5,COL,21.8,HOU,-55.6,48,NYM,-46.6,LAD,-45.3,Josh Bell,MIN,147.0
605141,4280,0.4395,27,KC,41.0,71,LAA,36.5,TOR,35.6,SEA,-70.6,62,CWS,-46.7,MIL,-42.3,,,
605170,1603,0.2158,12,TEX,112.3,48,COL,85.3,STL,75.7,SF,-65.7,54,CIN,-45.5,LAD,-32.4,Victor Caratini,MIN,198.0
605204,1543,0.2255,14,AZ,100.6,42,CHC,71.9,MIA,64.5,HOU,-142.9,62,PHI,-79.2,COL,-77.5,,,
605412,940,0.2809,10,COL,43.7,57,LAD,40.9,AZ,34.4,MIA,-58.8,95,NYM,-34.5,WSH,-16.2,,,
605480,897,0.2118,8,TB,66.1,290,TEX,23.2,BAL,20.5,HOU,-128.3,50,LAA,-108.3,ATH,-43.8,,,
605612,1019,0.1835,6,MIN,57.7,76,CWS,23.8,KC,21.1,COL,-63.7,135,DET,0.9,CLE,5.0,,,
606115,2309,0.1927,15,WSH,173.1,114,PIT,93.3,PHI,17.5,AZ,-88.2,44,MIA,-64.5,CIN,-51.9,,,
606132,1204,0.255,9,COL,38.2,522,SD,-0.5,PHI,-10.1,LAD,-92.5,52,MIL,-69.4,SF,-62.3,,,
606192,3820,0.2288,25,CIN,96.7,40,COL,79.1,PHI,64.9,SD,-124.7,53,SF,-100.0,CLE,-71.2,Teoscar Hernández,LAD,184.0
606299,976,0.3064,8,STL,63.2,62,NYM,8.8,CIN,0.1,MIL,-32.5,58,CHC,-23.2,ATL,-15.1,,,
606466,3645,0.4104,18,TEX,70.6,50,CIN,37.1,MIL,34.4,CHC,-63.6,67,LAD,-37.3,TOR,-24.6,Ketel Marte,AZ,26.0
606992,872,0.1502,6,KC,38.3,77,MIN,21.8,DET,12.3,CLE,-120.8,64,MIL,-27.8,CWS,-11.9,,,
607043,3551,0.2915,17,PHI,38.3,196,LAD,34.3,STL,33.7,NYY,-75.1,69,SD,-74.8,SF,-33.7,Brandon Nimmo,TEX,68.0
607054,953,0.1763,8,PIT,285.7,50,CIN,63.6,NYY,38.9,MIL,-56.1,310,ATH,-48.7,AZ,-9.0,,,
607208,4256,0.3289,19,TOR,60.3,55,AZ,58.7,COL,24.5,NYM,-55.1,176,PIT,-37.1,TB,-33.9,Trea Turner,PHI,103.0
607680,1772,0.2477,17,BAL,118.0,50,COL,97.3,AZ,86.3,MIA,-92.5,54,LAD,-53.4,SD,-45.7,,,
607732,1457,0.1791,12,CHC,104.7,60,PHI,92.8,PIT,30.8,MIL,-72.1,60,ATL,-55.0,STL,-34.3,,,
608070,4271,0.4404,17,LAA,72.3,87,CIN,36.2,NYY,23.4,CHC,-89.2,42,TEX,-25.9,BOS,-19.6,José Ramírez,CLE,3.0
608324,3994,0.4311,17,TB,26.1,103,CWS,23.5,ATH,22.1,NYY,-36.2,109,TOR,-27.2,BAL,-27.1,Alex Bregman,CHC,42.0
608336,2291,0.1707,19,KC,165.6,75,ATH,119.7,TEX,89.0,HOU,-200.3,111,MIA,-140.0,TB,-72.5,,,
608348,1609,0.2312,14,LAD,156.3,54,COL,83.5,CIN,46.9,NYM,-100.0,42,MIL,-91.7,ATL,-24.8,Carson Kelly,CHC,116.0
608369,3037,0.3922,24,DET,70.0,48,TOR,40.2,COL,29.1,SEA,-68.1,96,NYY,-61.8,TB,-49.8,Corey Seager,TEX,52.0
608385,2346,0.3303,21,STL,70.3,96,ATH,51.4,CIN,38.6,TEX,-83.2,54,COL,-56.1,CLE,-51.2,,,
608577,1097,0.2598,9,ATH,46.4,71,KC,37.5,TEX,29.1,LAA,-100.0,61,SD,-67.6,DET,-50.2,,,
608701,871,0.2468,7,BAL,122.4,51,CLE,73.6,BOS,2.3,NYY,-125.9,47,TB,-29.7,TOR,-17.5,,,
608841,842,0.2518,6,ATL,90.3,48,MIA,13.5,WSH,4.3,NYM,-92.8,55,SD,-35.3,PHI,-16.4,,,
609280,1258,0.3188,10,MIN,63.7,46,CIN,25.5,LAA,25.5,BOS,-54.5,69,TOR,-30.9,TB,-30.3,Miguel Andujar,SD,79.0
614177,1316,0.1884,10,SD,67.7,329,DET,60.2,CLE,18.6,NYY,-111.1,48,CWS,-91.6,MIN,-86.4,,,
621020,4005,0.2245,18,ATH,89.3,40,COL,88.5,PIT,69.4,LAD,-115.4,87,MIL,-93.2,NYM,-71.1,Dansby Swanson,CHC,119.0
621028,1916,0.2568,14,COL,121.4,51,MIL,16.5,SD,12.2,NYM,-61.1,40,LAA,-47.7,ATL,-22.1,,,
