pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position
668881,Hunter Greene,182,5.308,1.411,-0.044,0.521,0.373,0.513,0.341,0.627,91.2,P
595345,Steven Okert,772,5.307,1.293,-0.044,0.51,0.356,0.523,0.34,0.644,91.1,P
664076,Garrett Cleavinger,538,5.306,1.44,-0.045,0.457,0.385,0.448,0.317,0.615,90.9,P
657746,Joe Ryan,1878,5.305,1.375,-0.045,0.496,0.332,0.522,0.342,0.668,90.7,P
689254,Mason Fluharty,682,5.302,1.326,-0.045,0.485,0.377,0.469,0.318,0.623,90.6,P
683003,Jared Jones,651,5.301,1.371,-0.045,0.497,0.388,0.483,0.333,0.612,90.4,P
702303,Riley Martin,118,5.299,1.354,-0.045,0.557,0.347,0.599,0.348,0.653,90.2,P
696519,Samy Natera,313,5.299,1.37,-0.045,0.451,0.358,0.485,0.338,0.642,90.1,P
681810,Austin Warren,652,5.299,1.411,-0.045,0.439,0.353,0.483,0.322,0.647,89.9,P
690997,Nolan Mclean,1789,5.297,1.484,-0.045,0.46,0.322,0.498,0.321,0.678,89.8,P
621016,José Cuas,127,5.294,1.267,-0.045,0.476,0.339,0.471,0.33,0.661,89.6,P
670183,Garrett Acton,115,5.292,1.24,-0.045,0.48,0.364,0.5,0.345,0.636,89.4,P
641941,Emilio Pagán,297,5.292,1.32,-0.045,0.468,0.365,0.43,0.333,0.635,89.3,P
694918,Blade Tidwell,182,5.29,1.289,-0.045,0.466,0.333,0.482,0.33,0.667,89.1,P
668933,Graham Ashcraft,470,5.288,1.436,-0.045,0.491,0.411,0.457,0.305,0.589,88.9,P
701542,Will Warren,1723,5.286,1.439,-0.045,0.454,0.329,0.505,0.335,0.671,88.8,P
660271,Shohei Ohtani,1421,5.286,1.306,-0.045,0.458,0.339,0.498,0.327,0.661,88.6,P
656546,Jeff Hoffman,775,5.283,1.392,-0.045,0.494,0.404,0.455,0.317,0.596,88.5,P
681035,Christian Scott,1078,5.279,1.441,-0.045,0.511,0.332,0.511,0.337,0.668,88.3,P
672282,Reid Detmers,1944,5.279,1.457,-0.046,0.507,0.338,0.514,0.348,0.662,88.1,P
669062,Erik Miller,588,5.276,1.468,-0.046,0.416,0.382,0.414,0.3,0.618,88.0,P
663687,Hogan Harris,842,5.272,1.345,-0.046,0.463,0.312,0.506,0.344,0.688,87.8,P
670990,Yohan Ramírez,881,5.272,1.445,-0.046,0.441,0.345,0.48,0.319,0.655,87.6,P
680742,Jonathan Bowlan,569,5.271,1.442,-0.046,0.521,0.367,0.46,0.325,0.633,87.5,P
646241,Enmanuel De Jesus,536,5.271,1.392,-0.046,0.482,0.322,0.517,0.334,0.678,87.3,P
693433,Bryan Woo,1747,5.27,1.39,-0.046,0.516,0.319,0.522,0.341,0.681,87.2,P
801139,Payton Tolle,1272,5.268,1.428,-0.046,0.515,0.303,0.537,0.347,0.697,87.0,P
685126,Brandon Eisert,552,5.266,1.399,-0.046,0.425,0.417,0.424,0.33,0.583,86.8,P
666171,Ryan Zeferjahn,886,5.262,1.345,-0.046,0.452,0.372,0.464,0.32,0.628,86.7,P
684049,Brandan Bidois,325,5.261,1.252,-0.046,0.497,0.391,0.451,0.33,0.609,86.5,P
683618,Edgardo Henriquez,574,5.26,1.458,-0.046,0.474,0.352,0.448,0.313,0.648,86.3,P
676684,Will Vest,506,5.258,1.458,-0.046,0.51,0.363,0.465,0.33,0.637,86.2,P
689147,Orion Kerkering,681,5.258,1.413,-0.046,0.47,0.33,0.49,0.323,0.67,86.0,P
676974,Max Meyer,1789,5.257,1.552,-0.046,0.482,0.379,0.474,0.329,0.621,85.9,P
573204,Caleb Thielbar,521,5.256,1.333,-0.046,0.502,0.343,0.473,0.331,0.657,85.7,P
676742,Cam Sanders,235,5.255,1.48,-0.046,0.471,0.391,0.404,0.321,0.609,85.5,P
669199,Lake Bachar,871,5.255,1.408,-0.046,0.475,0.402,0.458,0.328,0.598,85.4,P
665660,Elvis Alvarado,472,5.253,1.399,-0.046,0.522,0.328,0.504,0.329,0.672,85.2,P
592332,Kevin Gausman,1935,5.253,1.326,-0.046,0.506,0.361,0.471,0.339,0.639,85.0,P
668984,Casey Legumina,645,5.251,1.376,-0.047,0.487,0.329,0.517,0.333,0.671,84.9,P
519242,Chris Sale,1760,5.244,1.401,-0.047,0.489,0.315,0.5,0.331,0.685,84.7,P
678022,Jack Perkins,1000,5.241,1.432,-0.047,0.493,0.363,0.5,0.333,0.637,84.6,P
678606,José Ferrer,708,5.241,1.393,-0.047,0.464,0.296,0.535,0.291,0.704,84.4,P
