batter,name,pa_total,ev_p90_first,ev_p90_last,ev_p90_delta,ev_p90_drift_adj,k_pct_first,k_pct_last,k_pct_delta,k_pct_drift_adj,whiff_per_swing_first,whiff_per_swing_last,whiff_per_swing_delta,whiff_per_swing_drift_adj,ev_mean_first,ev_mean_last,ev_mean_delta,ev_mean_drift_adj,hard_hit_pct_first,hard_hit_pct_last,hard_hit_pct_delta,hard_hit_pct_drift_adj,bb_pct_first,bb_pct_last,bb_pct_delta,bb_pct_drift_adj,barrel_pct_first,barrel_pct_last,barrel_pct_delta,barrel_pct_drift_adj
686469,Vinnie Pasquantino,167,101.42,102.5,1.08,101.992,20.93,18.519,-2.412,19.797,16.071,14.483,-1.589,15.325,83.072,85.522,2.45,84.175,24.615,31.034,6.419,27.504,9.302,11.111,1.809,9.972,1.538,1.724,0.186,1.568
656775,Cedric Mullins,132,100.36,98.25,-2.11,99.242,21.739,14.286,-7.453,18.236,19.858,19.444,-0.414,19.664,80.751,80.897,0.146,80.817,22.33,20.0,-2.33,21.282,4.348,4.762,0.414,4.501,0.971,1.25,0.279,1.016
691594,Javier Sanoja,92,102.0,102.44,0.44,102.233,12.766,11.111,-1.655,11.988,12.658,12.0,-0.658,12.349,82.391,79.738,-2.652,81.197,25.0,24.615,-0.385,24.827,4.255,13.333,9.078,7.614,1.562,0.0,-1.562,1.312
661388,William Contreras,161,104.94,103.72,-1.22,104.293,11.538,10.843,-0.695,11.212,14.729,12.5,-2.229,13.681,86.744,84.979,-1.765,85.95,31.373,29.126,-2.246,30.362,12.821,7.229,-5.592,10.752,0.0,2.913,2.913,0.466
641933,Tyler O'Neill,67,102.3,104.9,2.6,103.678,17.647,27.273,9.626,22.171,28.07,32.075,4.005,29.953,83.922,84.677,0.756,84.262,21.622,41.935,20.314,30.763,8.824,18.182,9.358,12.286,2.703,0.0,-2.703,2.27
665487,Fernando Tatis Jr.,167,107.2,108.39,1.19,107.831,22.093,27.16,5.067,24.475,24.026,30.667,6.641,27.147,84.937,84.6,-0.337,84.785,41.584,31.111,-10.473,36.871,11.628,8.642,-2.986,10.523,1.98,2.222,0.242,2.019
665489,Vladimir Guerrero Jr.,171,108.54,104.03,-4.51,106.15,10.976,12.36,1.384,11.626,19.149,17.834,-1.315,18.531,85.87,83.938,-1.932,85.0,30.275,30.833,0.558,30.526,14.634,7.865,-6.769,12.13,0.917,1.667,0.749,1.037
805779,Jacob Wilson,168,97.76,99.24,1.48,98.544,12.346,11.494,-0.851,11.946,11.95,16.168,4.218,13.932,80.084,79.914,-0.17,80.008,24.219,17.293,-6.926,21.102,1.235,4.598,3.363,2.479,0.0,0.752,0.752,0.12
664983,Jake McCarthy,89,100.85,96.66,-4.19,98.629,21.739,11.628,-10.111,16.987,27.5,14.815,-12.685,21.538,73.888,77.635,3.747,75.575,17.308,12.903,-4.404,15.326,8.696,9.302,0.607,8.92,3.846,1.613,-2.233,3.489
543807,George Springer,97,99.75,101.3,1.55,100.572,22.581,14.286,-8.295,18.682,21.094,19.355,-1.739,20.276,82.155,82.922,0.767,82.5,22.093,21.739,-0.354,21.934,12.903,2.857,-10.046,9.186,1.163,2.174,1.011,1.325
670623,Isaac Paredes,152,96.9,100.1,3.2,98.596,21.212,11.628,-9.584,16.708,20.0,11.628,-8.372,16.065,83.638,84.089,0.452,83.841,17.822,24.113,6.292,20.653,10.606,8.14,-2.467,9.693,0.0,1.418,1.418,0.227
663968,Jake Mangum,82,97.8,94.04,-3.76,95.807,15.556,29.73,14.174,22.217,20.69,23.077,2.387,21.812,77.062,75.675,-1.387,76.437,21.538,10.169,-11.369,16.422,8.889,8.108,-0.781,8.6,0.0,0.0,0.0,0.0
666018,Jonathan Aranda,170,102.02,101.14,-0.88,101.554,23.256,23.81,0.554,23.516,17.901,20.69,2.788,19.212,83.591,81.443,-2.148,82.624,25.0,22.33,-2.67,23.799,15.116,10.714,-4.402,13.488,2.5,0.971,-1.529,2.255
701350,Roman Anthony,130,105.15,101.06,-4.09,102.982,26.25,24.0,-2.25,25.192,26.4,24.359,-2.041,25.441,87.506,83.689,-3.817,85.789,33.75,23.636,-10.114,29.199,12.5,20.0,7.5,15.275,1.25,1.818,0.568,1.341
666023,Freddy Fermin,78,98.6,98.24,-0.36,98.409,21.622,19.512,-2.109,20.63,27.941,21.176,-6.765,24.762,83.605,82.31,-1.295,83.022,21.951,16.949,-5.002,19.7,10.811,9.756,-1.055,10.421,0.0,0.0,0.0,0.0
