pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,sample_warning
606965,Chris Devenski,545,4.922,1.442,-0.058,0.482,0.387,0.469,0.326,0.613,33.6,P,False
630023,Yonny Chirinos,601,4.922,1.668,-0.058,0.449,0.295,0.517,0.329,0.705,33.4,P,False
592351,Jon Gray,1620,4.921,1.512,-0.058,0.5,0.348,0.517,0.337,0.652,33.3,P,False
680573,Simeon Woods Richardson,2295,4.92,1.422,-0.059,0.509,0.324,0.499,0.335,0.676,33.1,P,False
663559,Bailey Falter,2280,4.92,1.445,-0.059,0.504,0.297,0.53,0.351,0.703,33.0,P,False
686563,Jonathan Cannon,2028,4.919,1.535,-0.059,0.462,0.325,0.48,0.322,0.675,32.9,P,False
663947,Tyler Holton,1514,4.919,1.496,-0.059,0.473,0.314,0.485,0.324,0.686,32.7,P,False
608379,Michael Wacha,2736,4.917,1.502,-0.059,0.492,0.299,0.506,0.336,0.701,32.6,P,False
694813,Gavin Stone,2224,4.917,1.453,-0.059,0.496,0.332,0.487,0.327,0.668,32.5,P,False
666745,Jhony Brito,639,4.916,1.36,-0.059,0.467,0.276,0.52,0.328,0.724,32.3,P,False
676282,Joey Cantillo,759,4.916,1.417,-0.059,0.453,0.347,0.482,0.343,0.653,32.2,P,False
681869,Shawn Dubin,840,4.916,1.46,-0.059,0.466,0.335,0.476,0.338,0.665,32.0,P,False
571656,Buck Farmer,1168,4.914,1.592,-0.059,0.48,0.33,0.47,0.318,0.67,31.9,P,False
656271,Brock Burke,603,4.913,1.509,-0.059,0.523,0.304,0.541,0.347,0.696,31.8,P,False
669461,Matthew Liberatore,1438,4.912,1.57,-0.059,0.508,0.326,0.526,0.341,0.674,31.6,P,False
607625,Seth Lugo,3281,4.912,1.548,-0.059,0.461,0.306,0.499,0.333,0.694,31.5,P,False
434378,Justin Verlander,1580,4.912,1.431,-0.059,0.485,0.28,0.504,0.337,0.72,31.4,P,False
676775,Keaton Winn,847,4.91,1.632,-0.059,0.505,0.33,0.496,0.324,0.67,31.2,P,False
621294,Ben Heller,255,4.909,1.628,-0.059,0.416,0.385,0.414,0.302,0.615,31.1,P,False
642701,Dennis Santana,1129,4.909,1.497,-0.059,0.493,0.331,0.503,0.326,0.669,30.9,P,False
669372,J. T. Ginn,515,4.909,1.565,-0.059,0.451,0.325,0.507,0.319,0.675,30.8,P,False
