rank,pitcher,player_name,gs_to,gs_last21,fp_per_start_to,fp_per_start_last21,recency_form_gap,prior_fp_per_start,prior_source,is_on_il_at_split,xfp_rp3_per_start,xfp_rp3_sigma,xfp_rp3_p25,xfp_rp3_p75,next_opp_team,next_opp_bat_index,next2_avg_bat_index,schedule_factor,xfp_rp3_per_start_sched,replacement_xfp_per_start,replacement_delta,signal,slump_pct_rank,slump_n_comparable,slump_bounce_pct,slump_next_rate,slump_delta,mlb_id,atc,steamer,thebatx,zips,ext_n_systems,ext_mean_fp_per_g,ensemble_fp_per_start
31,669923,"Kirby, George",7,4.0,14.057142857142855,13.125,-0.932,13.027752902253177,mlb_lag,0,12.05581215516079,3.550589473597954,9.66093955521897,14.45068475510261,,,,1.0,12.06,11.285,0.771,hold,41.5,44.0,100.0,0.7897,0.1827,669923,13.767622803361437,13.51414230019493,13.518703644330445,12.75592592592592,4,13.389098668453183,12.589126760477747
32,801139,Payton Tolle,2,2.0,16.049999999999997,16.049999999999997,0.0,10.505324392971376,milb_translation,0,11.984400059586836,3.550589473597954,9.589527459645016,14.379272659528656,,,,1.0,11.98,11.285,0.7,hold,,,,,,801139,16.53489643020383,14.795808641975308,17.495604504802913,10.709523809523809,4,14.883958346626464,13.144223374402687
33,676979,"Crochet, Garrett",6,3.0,7.333333333333332,-0.7333333333333343,-8.067,16.166694641098083,mlb_lag,1,11.965526390900694,3.550589473597954,9.570653790958874,14.360398990842514,,,,1.0,11.97,11.285,0.681,il,1.7,1.0,100.0,1.0211,0.6108,676979,17.260059836988706,16.630399999999995,16.722501283675076,16.77620689655172,4,16.847292004303874,13.918232636261965
34,663460,"Bubic, Kris",7,4.0,13.985714285714284,10.4,-3.586,14.09309286930805,mlb_lag,0,11.84316088735662,3.550589473597954,9.4482882874148,14.23803348729844,DET,1.0667,1.0667,0.8873362082730702,10.51,11.285,0.559,hold,82.4,61.0,70.7,0.5437,0.0691,663460,12.435173476480392,12.522831275720161,12.567687798341847,12.53157894736842,4,12.514317874477705,12.111623682205053
35,605540,"Woodruff, Brandon",6,3.0,10.616666666666664,9.933333333333332,-0.683,16.114028074258623,mlb_lag,1,11.689662875337024,3.550589473597954,9.294790275395204,14.084535475278845,,,,1.0,11.69,11.285,0.405,il,17.2,21.0,100.0,0.8668,0.3105,605540,13.707428377399863,13.885087145969496,12.479815087547047,11.670499999999999,4,12.9357076527291,12.188080786293854
36,686218,"Sheehan, Emmet",6,3.0,11.016666666666666,14.566666666666665,3.55,12.250240303663547,mlb_lag,0,11.623916758195838,3.550589473597954,9.229044158254018,14.018789358137658,ATL,1.0667,1.0667,0.9616070407636668,11.18,11.285,0.339,hold,50.0,9.0,100.0,0.8641,0.4376,686218,13.671548985757447,14.785127572016464,14.575166163141992,11.887647058823529,4,13.729872444934859,12.466299032891447
37,683004,"Leiter, Jack",7,4.0,9.457142857142856,8.2,-1.257,11.385165008515637,mlb_lag,0,11.566553482991656,3.550589473597954,9.171680883049836,13.961426082933476,,,,1.0,11.57,11.285,0.282,hold,17.2,5.0,100.0,0.7111,0.2112,683004,11.043861014403713,10.037425562817722,10.81085330056659,11.096071428571431,4,10.747052826589865,11.23875322043094
38,691799,"Taylor, Grant",4,0.0,5.125,5.125,0.0,10.354950255469117,mlb_lag,0,11.550040072518335,3.550589473597954,9.155167472576515,13.944912672460156,,,,1.0,11.55,11.285,0.265,hold,,0.0,,,,691799,81.64517812384433,70.98310802469135,89.5407025472473,16.22625,4,64.59880967394574,32.7695479130893
39,664285,"Valdez, Framber",7,4.0,12.01428571428571,14.499999999999996,2.486,14.391985619937932,mlb_lag,0,11.520812876567405,3.550589473597954,9.125940276625585,13.915685476509225,,,,1.0,11.52,11.285,0.236,hold,35.6,57.0,98.2,0.7783,0.2049,664285,14.188332866054532,13.305877192982454,14.47608186724609,13.329629629629629,4,13.824980388978178,12.442479881531714
40,691587,"Pérez, Eury",7,4.0,9.4,10.25,0.85,13.226459423878865,mlb_lag,0,11.495160939811903,3.550589473597954,9.100288339870083,13.890033539753723,,,,1.0,11.5,11.285,0.211,hold,15.2,5.0,100.0,0.8143,0.2807,691587,12.665558941723067,12.674030501089321,12.174784135046313,9.308076923076923,4,11.705612625233908,11.579341613980706
