pitcher,fp_per_start_5-day,fp_per_start_6-day,fp_per_start_7+ day,fp_per_start_short(<=4),gs_5-day,gs_6-day,gs_7+ day,gs_short(<=4),annual_rate,total_gs,lift_short(<=4)_pct,lift_5-day_pct,lift_6-day_pct,lift_7+ day_pct,player_name,rank
608566,10.701388888888888,10.92372881355932,4.405882352941175,,72.0,59.0,17.0,,10.06689189189189,148,,6.3,8.5,-56.2,"Márquez, Germán",179.0
615698,8.858333333333333,8.433870967741935,8.124999999999998,10.049999999999999,48.0,62.0,28.0,2.0,8.540714285714284,140,17.7,3.7,-1.3,-4.9,,
621076,8.774999999999999,10.14230769230769,11.944444444444443,,20.0,26.0,9.0,,9.94,55,,-11.7,2.0,20.2,,
621107,9.370491803278687,13.191803278688523,8.025925925925925,,61.0,61.0,27.0,,10.691275167785234,149,,-12.4,23.4,-24.9,,
621111,13.694444444444443,13.607692307692306,11.349999999999998,,36.0,78.0,18.0,,13.323484848484847,132,,2.8,2.1,-14.8,"Buehler, Walker",165.0
621112,8.599999999999998,7.016129032258063,3.9666666666666655,,28.0,31.0,9.0,,7.26470588235294,68,,18.4,-3.4,-45.4,,
621121,11.066666666666666,13.646666666666665,10.2,,18.0,30.0,19.0,,11.976119402985072,67,,-7.6,13.9,-14.8,"McCullers Jr., Lance",145.0
621244,11.947674418604649,12.399999999999999,10.664516129032258,,86.0,98.0,31.0,,11.968837209302324,215,,-0.2,3.6,-10.9,,
621389,4.094444444444443,4.916666666666665,0.5888888888888884,,18.0,12.0,9.0,,3.538461538461538,39,,15.7,38.9,-83.4,,
622072,9.672093023255812,10.22307692307692,6.584210526315789,,43.0,39.0,19.0,,9.303960396039603,101,,4.0,9.9,-29.2,,
622491,12.948863636363633,13.798888888888888,12.983870967741934,,88.0,90.0,31.0,,13.320095693779903,209,,-2.8,3.6,-2.5,"Castillo, Luis",71.0
622608,7.088636363636362,4.269047619047618,4.499999999999998,,44.0,42.0,20.0,,5.483018867924526,106,,29.3,-22.1,-17.9,,
622663,10.589999999999998,11.796153846153846,11.258333333333333,,50.0,52.0,24.0,,11.215079365079365,126,,-5.6,5.2,0.4,"Severino, Luis",75.0
622694,8.616666666666665,6.724999999999999,9.43,,12.0,16.0,10.0,,8.034210526315789,38,,7.2,-16.3,17.4,,
623167,8.456249999999999,8.64186046511628,6.73157894736842,8.45,32.0,43.0,19.0,2.0,8.197916666666666,96,3.1,3.2,5.4,-17.9,,
624133,13.230769230769228,12.164912280701753,10.594117647058821,,39.0,57.0,17.0,,12.296460176991149,113,,7.6,-1.1,-13.8,"Suarez, Ranger",68.0
625643,10.276923076923076,10.134285714285712,13.09047619047619,,39.0,35.0,21.0,,10.846315789473683,95,,-5.2,-6.6,20.7,"López, Reynaldo",89.0
628317,12.982142857142858,10.488888888888887,7.275999999999999,,28.0,45.0,25.0,,10.381632653061223,98,,25.0,1.0,-29.9,,
628711,13.451612903225804,14.02093023255814,13.057142857142855,,31.0,43.0,14.0,,13.667045454545452,88,,-1.6,2.6,-4.5,,
630023,7.099999999999998,5.299999999999999,10.908333333333331,,11.0,13.0,12.0,,7.719444444444444,36,,-8.0,-31.3,41.3,,
640455,13.706249999999999,9.846031746031745,10.835714285714285,,48.0,63.0,28.0,,11.37841726618705,139,,20.5,-13.5,-4.8,,
