mlbam_id,player_name,team,proj_ros_pa_per_teamgame,naive_pace,volume_percentile,pa_to,team_games_to,pa_per_teamgame_to,started_pct_to,lineup_spot_to,pa_per_started_game_to,pa_last21,prior1_pa_per_g,is_catcher,is_on_il_at_split,career_stage,split_day
669699,Braden Shewmake,HOU,1.3019,0.8922,27.9,91,102.0,0.8922,0.8333,7.04,3.4,12.0,0.0,0,0.0,3,117
687363,Victor Scott II,STL,1.2874,1.8586,27.7,184,99.0,1.8586,0.9474,9.0,3.3519,0.0,2.858,0,0.0,2,117
677950,Alek Thomas,AZ,1.2869,1.0,27.5,100,100.0,1.0,1.0,7.8214,3.5714,0.0,2.8951,0,0.0,4,117
620443,Luis Torrens,NYM,1.2868,1.8119,27.3,183,101.0,1.8119,0.8246,8.8298,3.5319,30.0,1.7469,1,0.0,9,117
691907,Tsung-Che Cheng,BOS,1.2797,0.4141,27.1,41,99.0,0.4141,1.0,9.0,3.4167,27.0,0.0432,0,0.0,1,117
672761,Wenceel Pérez,DET,1.2737,1.75,26.9,175,100.0,1.75,0.7925,7.0476,3.8095,0.0,2.3642,0,1.0,2,117
656484,Tristan Gray,MIN,1.2692,1.8119,26.7,183,101.0,1.8119,0.8475,8.28,3.4,20.0,0.5309,0,0.0,3,117
553869,Elias Díaz,TEX,1.2686,1.0,26.5,100,100.0,1.0,0.8438,8.2222,3.5185,39.0,1.7469,1,0.0,11,117
666624,Christopher Morel,MIA,1.2627,0.7228,26.3,73,101.0,0.7228,0.9091,6.3,3.55,0.0,1.8827,0,0.0,4,117
679822,Justin Foscue,TEX,1.2596,1.26,26.1,126,100.0,1.26,0.4898,5.125,3.7917,28.0,0.0556,0,0.0,2,117
694728,Brice Matthews,HOU,1.2556,2.2255,25.9,227,102.0,2.2255,0.7397,7.2407,3.6852,18.0,0.2901,0,1.0,1,117
669134,Luis Campusano,SD,1.2533,0.88,25.7,88,100.0,0.88,0.8621,8.24,3.32,30.0,0.1667,1,0.0,6,117
694388,Joey Loperfido,HOU,1.2524,1.1765,25.5,120,102.0,1.1765,0.6923,6.3704,3.8148,3.0,0.642,0,0.0,2,117
516782,Starling Marte,KC,1.242,1.2376,25.3,125,101.0,1.2376,0.7073,5.6552,3.8621,19.0,2.0309,0,0.0,11,117
691011,Drew Romo,CWS,1.2417,1.2828,25.1,127,99.0,1.2828,0.9444,8.7059,3.5882,19.0,0.0185,1,0.0,2,117
663698,Joey Bart,PIT,1.2318,1.0198,25.0,103,101.0,1.0198,0.7941,8.037,3.4815,27.0,2.0494,1,0.0,6,117
682848,Endy Rodríguez,PIT,1.2315,1.2079,24.8,122,101.0,1.2079,0.7429,6.7692,4.2308,17.0,0.3519,1,1.0,3,117
622268,Donovan Walton,LAA,1.2157,1.0792,24.6,109,101.0,1.0792,0.8387,7.5769,3.9231,20.0,0.0556,0,0.0,7,117
621438,Tyrone Taylor,NYM,1.2153,1.3465,24.4,136,101.0,1.3465,0.5686,7.8276,3.3103,30.0,2.1049,0,0.0,7,117
663604,Brandon Lockridge,MIL,1.2094,0.97,24.2,97,100.0,0.97,0.8214,6.1304,3.913,0.0,0.9136,0,1.0,2,117
687515,Colby Thomas,ATH,1.2078,1.09,24.0,109,100.0,1.09,0.6222,4.25,3.1071,27.0,0.8148,0,0.0,1,117
694410,LuJames Groover,AZ,1.2076,0.54,23.8,54,100.0,0.54,0.9333,7.8571,3.6429,2.0,0.0,0,0.0,0,117
672820,Lenyn Sosa,TOR,1.2034,1.17,23.6,117,100.0,1.17,0.7692,5.4333,3.5333,0.0,3.358,0,1.0,4,117
691785,Marcelo Mayer,BOS,1.1969,2.303,23.4,228,99.0,2.303,0.8676,7.2712,3.6102,0.0,0.8395,0,1.0,1,117
676439,Hunter Feduccia,TB,1.1922,1.4545,23.2,144,99.0,1.4545,0.8654,8.4,3.0222,30.0,0.6481,1,0.0,2,117
660710,Rodolfo Durán,SD,1.1855,0.91,23.0,91,100.0,0.91,0.9,8.8148,3.2222,18.0,0.0,1,0.0,0,117
680474,Max Schuemann,NYY,1.182,0.73,22.8,73,100.0,0.73,0.6296,7.7059,3.5294,27.0,1.3148,0,0.0,2,117
