batter_name,batter,pa,confidence,primary_position,fantasy_positions,fantasy_positions_display,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag,season_stage
Lenyn Sosa,672820,368,Tier B,2B,2B|3B,"2B, 3B",111.3,94.8,108.1,108.0,0.527,0.392,0.321,0.033,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Andy Pages,681624,464,Tier A,OF,OF,OF,109.9,110.6,98.5,107.9,0.508,0.327,0.328,0.032,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Romy Gonzalez,663853,217,Tier C,1B,1B|2B,"1B, 2B",109.1,110.2,96.9,107.9,0.552,0.349,0.318,0.033,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Taylor Ward,621493,678,Tier A,OF,OF|DH,"OF, DH",109.4,104.6,100.2,107.8,0.434,0.221,0.347,0.032,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong,mature
Michael Busch,683737,570,Tier A,1B,1B,1B,103.7,104.1,88.7,107.8,0.451,0.26,0.324,0.032,Power+ strong (top 25%); xwOBA above model expectation,mature
Adolis García,666969,642,Tier A,OF,OF|DH,"OF, DH",107.2,106.4,95.1,107.7,0.521,0.342,0.309,0.031,Power+ strong (top 25%); xwOBA above model expectation,mature
Bryan De La Cruz,650559,634,Tier A,OF,OF|DH,"OF, DH",107.5,109.6,94.7,107.6,0.532,0.326,0.307,0.031,Power+ strong (top 25%); xwOBA above model expectation,mature
Travis D'Arnaud,518595,346,Tier B,C,C,C,107.8,115.9,93.0,107.3,0.506,0.303,0.325,0.03,Power+ strong (top 25%),mature
Randal Grichuk,545341,279,Tier B,OF,OF|DH,"OF, DH",113.8,104.0,111.0,107.2,0.473,0.327,0.368,0.029,Power+ strong (top 25%); Process+ also strong,mature
Ezequiel Tovar,678662,707,Tier A,SS,SS,SS,107.1,119.8,90.5,107.1,0.622,0.422,0.292,0.028,Power+ strong (top 25%),mature
Trevor Larnach,663616,404,Tier A,OF,OF|DH,"OF, DH",110.0,95.7,106.8,107.1,0.441,0.25,0.347,0.029,Power+ strong (top 25%); Process+ also strong,mature
William Contreras,661388,687,Tier A,C,C|DH,"C, DH",110.8,113.7,100.9,107.0,0.472,0.268,0.356,0.028,Power+ strong (top 25%); Process+ also strong,mature
Jackson Chourio,694192,581,Tier A,OF,OF,OF,109.9,95.5,107.0,107.0,0.489,0.334,0.333,0.028,Power+ strong (top 25%); Process+ also strong,mature
Paul Dejong,657557,485,Tier A,3B,3B|SS,"3B, SS",104.4,126.2,82.1,107.0,0.58,0.308,0.293,0.028,Power+ strong (top 25%),mature
