pitcher,pitcher_name,year,num_pitches,pl_plv,pl_pla,pl_plv_FF,pl_plv_SI,pl_plv_SL,pl_plv_ST,pl_plv_CH,pl_plv_CU,pl_plv_FC,pl_plv_FS
680570,"Rodriguez, Grayson",2024,1931,5.107680947028664,2.891147447443376,2.7966184986069944,,2.4959803737711876,,3.634725033808932,3.412813091300473,,
669373,"Skubal, Tarik",2024,3260,5.107625613252186,2.7869006819618116,2.7847879565611517,2.603026211534127,3.121114330798445,,3.2375162565102578,3.421238396837273,,
669194,"Nelson, Ryne",2024,2479,5.107606939090472,2.8654839459309107,2.493943865033378,,2.5954684792905365,2.3983830454172725,3.383883648081312,4.488697137230863,2.945805172684535,
685299,"Gordon, Tanner",2024,607,5.103298887815636,2.748139370970403,3.4861103292017948,,2.4410757630781035,,2.182688960484114,3.3552307160264796,,
641927,"Ober, Bailey",2024,2696,5.101323383656663,2.878918536874963,3.6791162333390464,,2.938501007942172,3.553968745302118,1.8413209442713168,2.860232654315544,,
677944,"Cecconi, Slade",2024,1290,5.099861169887109,2.789995257065528,2.7372489796714774,,3.236150760815569,,3.408316739379247,3.3969219001770714,,
675627,"Grove, Michael",2024,860,5.099384515420298,2.8211921714452695,,2.457429773981886,2.7635950086028647,,,3.5523033154423906,2.8431787269409874,
669923,"Kirby, George",2024,2967,5.098642682512917,2.9376662107145064,3.2197487900811836,2.576730689734493,2.643048250394937,,,3.3179869208895596,4.209148426408438,3.666798382784595
667463,"King, John",2024,888,5.095742734206034,2.7113468356215744,2.704493554685481,2.9731198363018816,2.4221335566442335,,3.041582112086237,,,
596001,"Junis, Jakob",2024,943,5.0957256730535345,2.647882927493283,4.269264606420283,3.4269613025755135,2.148334929596734,,3.5190589304945874,,,
670102,"Francis, Bowden",2024,1558,5.095677280110733,2.852683186862407,2.975450674613292,3.7095839582630834,3.9462318915614283,,,3.505218133159799,,2.8162427557268206
641793,"Littell, Zack",2024,2564,5.095390456942452,2.8338874304290025,3.666231772283165,3.5887762032011405,2.7666018619148023,3.91362979077914,,,,2.7495961615242823
683232,"Mears, Nick",2024,1108,5.093833096281243,2.9393985532951934,2.594822991949629,,3.026755600005794,,,4.326337265339463,,
571945,"Mikolas, Miles",2024,2768,5.091427730018333,2.704608375517366,3.659719387446952,3.32247079204358,2.030368380285452,2.3395250271865855,2.641980428453488,3.1558820569458366,,
676710,"Crawford, Kutter",2024,2823,5.090719573497184,2.9120899175839305,2.488457076917676,,,3.0984064604297785,,3.286040930015174,2.6470163924855843,3.594665796882637
592426,"Jackson, Luke",2024,952,5.090196246543473,3.0776039370768915,3.853874504296467,,2.4058388882755963,,,3.1685182597517922,,
592773,"Stanek, Ryne",2024,1127,5.089649799998271,3.0823413662395627,2.8434261032784995,3.5855302259437014,3.601241409132335,,,,,3.547324046275861
543037,"Cole, Gerrit",2024,1986,5.088054776561854,3.039145132958775,2.799605581514573,4.778256142455204,2.588831711682623,,4.710451083517004,3.083134067537218,2.6675876403929433,
519242,"Sale, Chris",2024,2815,5.0864151023809425,2.995899532834981,3.2351393328578233,2.679795758715237,2.716842788062202,,3.3384029356056377,,,
