player_type,mlbam_id,player_name,team,position,own,proj_vol,naive_pace,gap,volume_percentile,recent_raw,rate,rate_source,impact,flags,unit,direction
H,457705,Andrew McCutchen,TEX,DH,FA,0.418,0.7155,-0.29750000000000004,2.1,0.0,0.3237345940069677,rh3,-0.0963110417170729,,PA/tg,FADER
H,669357,Nolan Gorman,STL,3B,FA,1.6654,1.9828,-0.3173999999999999,38.6,0.0,0.3019448227616627,rh3,-0.0958372867445517,,PA/tg,FADER
H,668723,Ryan Vilade,TB,OF,FA,1.4562,1.6522,-0.19599999999999995,31.4,26.0,0.4878466333025253,rh3,-0.09561794012729494,,PA/tg,FADER
H,663757,Trent Grisham,NYY,OF,FA,3.4688,3.2931,0.17569999999999997,84.0,75.0,0.5397985872248163,rh3,0.09484261177540021,,PA/tg,RISER
H,672820,Lenyn Sosa,TOR,2B,FA,1.2492,1.0,0.2492000000000001,24.1,0.0,0.379194761350864,rh3,0.09449533452863534,IL@split,PA/tg,RISER
H,807799,Masataka Yoshida,BOS,DH,FA,2.5359,2.3652,0.17069999999999963,63.7,63.0,0.5506234868020756,rh3,0.0939914291971141,,PA/tg,RISER
H,608701,Rob Refsnyder,SEA,DH,FA,0.8475,1.1026,-0.2551,8.6,10.0,0.3670068258987869,rh3,-0.09362344128678055,,PA/tg,FADER
H,808982,Jung Hoo Lee,SF,OF,2015 Draft First Round,3.5376,3.7069,-0.16930000000000023,86.9,74.0,0.5507656614869804,rh3,-0.09324462648974591,,PA/tg,FADER
H,672695,Geraldo Perdomo,AZ,SS,U Just Lost To Edwin Diaz,4.029,4.1795,-0.15050000000000008,99.2,94.0,0.6169724546209071,rh3,-0.09285435442044657,,PA/tg,FADER
SP,624133,Ranger Suarez,BOS,SP,Treasure Island Mashers,0.1659,0.1739,-0.008000000000000007,84.3,3.0,11.338399513989891,rp3,-0.09070719611191921,IL-return,GS/tg,FADER
H,669397,Nick Allen,HOU,SS,FA,1.2254,0.9915,0.2339,23.6,19.0,0.3869476250679106,rh3,0.09050704950338428,,PA/tg,RISER
SP,808967,Yoshinobu Yamamoto,LAD,SP,Treasure Island Mashers,0.1787,0.1724,0.0063,92.0,3.0,14.32463206598532,rp3,0.09024518201570751,,GS/tg,RISER
H,595978,Austin Hedges,CLE,C,FA,1.2853,1.5128,-0.2274999999999998,26.0,31.0,0.3953583011015246,rh3,-0.08994401350059678,,PA/tg,FADER
SP,607067,Colin Rea,CHC,SP,FA,0.1524,0.1624,-0.009999999999999981,71.2,3.0,8.988670874543903,rp3,-0.08988670874543886,,GS/tg,FADER
H,678489,Jorge Barrosa,AZ,OF,FA,1.0377,1.2821,-0.24439999999999995,13.9,20.0,0.3675076277778735,rh3,-0.08981886422891226,,PA/tg,FADER
H,545361,Mike Trout,LAA,OF,Team Solomon,3.5883,3.7586,-0.17030000000000012,88.4,76.0,0.5240455598150242,rh3,-0.08924495883649869,,PA/tg,FADER
H,666023,Freddy Fermin,SD,C,FA,1.9077,1.6838,0.2239,46.4,35.0,0.3918991961233942,rh3,0.08774623001202796,,PA/tg,RISER
H,663993,Nathaniel Lowe,CIN,DH,FA,2.6977,2.5304,0.1673,67.5,65.0,0.5200928709211688,rh3,0.08701153730511155,,PA/tg,RISER
H,663616,Trevor Larnach,MIN,OF,FA,2.8154,2.9829,-0.16749999999999998,69.8,52.0,0.5098694998585127,rh3,-0.08540314122630087,,PA/tg,FADER
SP,666157,Nick Lodolo,CIN,SP,2015 Draft First Round,0.0943,0.1043,-0.010000000000000009,31.8,0.0,8.458733613798666,rp3_marcel_prior,-0.08458733613798673,IL@split+IL-return+marcel-rate,GS/tg,FADER
