pitcher,tto1_delta_vs_overall,tto2_delta_vs_overall,tto3_delta_vs_overall,tto4_delta_vs_overall,tto1_pa,tto2_pa,tto3_pa,tto4_pa,tto1_rate,tto2_rate,tto3_rate,tto4_rate,overall_rate,total_pa,tto3_minus_tto1,player_name
572020,-0.0073,-0.0056,0.0231,,859.0,796.0,462.0,,-0.20139697322467986,-0.19974874371859297,-0.170995670995671,,-0.19414265470004724,2117,0.0304,James Paxton
572070,-0.0203,0.0934,-0.1179,,644.0,352.0,168.0,,-0.30124223602484473,-0.1875,-0.39880952380952384,,-0.2809278350515464,1164,-0.0976,Garrett Richards
572140,0.0769,-0.0444,-0.0669,,351.0,337.0,180.0,,-0.1339031339031339,-0.2551928783382789,-0.2777777777777778,,-0.2108294930875576,868,-0.1439,
572143,0.0227,-0.165,,,805.0,111.0,,,-0.28074534161490683,-0.46846846846846846,,,-0.3034934497816594,916,,Burch Smith
572193,0.0,,,,884.0,,,,-0.19343891402714933,,,,-0.19343891402714933,884,,Ryan Tepera
572362,0.0434,-0.1323,,,500.0,164.0,,,-0.184,-0.3597560975609756,,,-0.22740963855421686,664,,Robbie Erlin
572403,0.0105,-0.0661,,,727.0,116.0,,,-0.26822558459422285,-0.3448275862068966,,,-0.27876631079478054,843,,Drew VerHagen
572888,0.0,,,,669.0,,,,-0.23467862481315396,,,,-0.23467862481315396,669,,Shane Greene
572955,0.0,,,,1291.0,,,,-0.17738187451587917,,,,-0.17738187451587917,1291,,Pierce Johnson
572971,0.0107,0.0218,-0.0503,,1013.0,966.0,635.0,,-0.32477788746298125,-0.3136645962732919,-0.3858267716535433,,-0.33550114766641165,2614,-0.061,Dallas Keuchel
573009,0.0,,,,935.0,,,,-0.22780748663101605,,,,-0.22780748663101605,935,,Joe Mantiply
573124,0.0,,,,1724.0,,,,-0.13631090487238978,,,,-0.13631090487238978,1724,,Taylor Rogers
573185,-0.01,-0.0391,0.117,,332.0,292.0,126.0,,-0.4126506024096386,-0.4417808219178082,-0.2857142857142857,,-0.4026666666666667,750,0.1269,Dan Straily
573186,0.0283,-0.0098,-0.0336,,1557.0,1503.0,873.0,,-0.21066152858060372,-0.2488356620093147,-0.27262313860252,,-0.23900330536486142,3933,-0.062,Marcus Stroman
