batter,home_team,pa,core_fp,rate,annual_rate,total_pa,lift_pct,player_name,team,rank
458731,CWS,43,15,0.3488372093023256,0.2803030303030303,1320,24.5,,,
458731,HOU,40,5,0.125,0.2803030303030303,1320,-55.4,,,
458731,LAA,43,13,0.3023255813953488,0.2803030303030303,1320,7.9,,,
458731,NYY,774,203,0.2622739018087855,0.2803030303030303,1320,-6.4,,,
458731,TB,101,30,0.297029702970297,0.2803030303030303,1320,6.0,,,
458731,TOR,105,34,0.3238095238095238,0.2803030303030303,1320,15.5,,,
460086,CLE,71,3,0.04225352112676056,0.26621160409556316,879,-84.1,,,
460086,CWS,72,24,0.3333333333333333,0.26621160409556316,879,25.2,,,
460086,DET,64,21,0.328125,0.26621160409556316,879,23.3,,,
460086,KC,593,167,0.28161888701517707,0.26621160409556316,879,5.8,,,
460086,MIN,79,19,0.24050632911392406,0.26621160409556316,879,-9.7,,,
462101,ATH,550,119,0.21636363636363637,0.2563115104835259,2337,-15.6,,,
462101,BAL,57,11,0.19298245614035087,0.2563115104835259,2337,-24.7,,,
462101,BOS,62,16,0.25806451612903225,0.2563115104835259,2337,0.7,,,
462101,CLE,67,30,0.44776119402985076,0.2563115104835259,2337,74.7,,,
462101,CWS,320,82,0.25625,0.2563115104835259,2337,-0.0,,,
462101,DET,66,13,0.19696969696969696,0.2563115104835259,2337,-23.2,,,
462101,HOU,110,19,0.17272727272727273,0.2563115104835259,2337,-32.6,,,
462101,KC,65,24,0.36923076923076925,0.2563115104835259,2337,44.1,,,
462101,LAA,111,13,0.11711711711711711,0.2563115104835259,2337,-54.3,,,
462101,MIN,72,3,0.041666666666666664,0.2563115104835259,2337,-83.7,,,
462101,NYY,57,9,0.15789473684210525,0.2563115104835259,2337,-38.4,,,
462101,SEA,130,57,0.43846153846153846,0.2563115104835259,2337,71.1,,,
462101,TB,52,17,0.3269230769230769,0.2563115104835259,2337,27.5,,,
462101,TEX,618,186,0.30097087378640774,0.2563115104835259,2337,17.4,,,
467793,ATH,77,14,0.18181818181818182,0.3231211105792245,4178,-43.7,,,
467793,ATL,56,13,0.23214285714285715,0.3231211105792245,4178,-28.2,,,
467793,AZ,54,12,0.2222222222222222,0.3231211105792245,4178,-31.2,,,
467793,BAL,68,15,0.22058823529411764,0.3231211105792245,4178,-31.7,,,
467793,BOS,68,22,0.3235294117647059,0.3231211105792245,4178,0.1,,,
467793,CHC,80,21,0.2625,0.3231211105792245,4178,-18.8,,,
467793,CIN,58,8,0.13793103448275862,0.3231211105792245,4178,-57.3,,,
467793,CLE,629,191,0.3036565977742448,0.3231211105792245,4178,-6.0,,,
467793,CWS,145,45,0.3103448275862069,0.3231211105792245,4178,-4.0,,,
467793,DET,149,47,0.31543624161073824,0.3231211105792245,4178,-2.4,,,
467793,HOU,56,13,0.23214285714285715,0.3231211105792245,4178,-28.2,,,
467793,KC,541,162,0.29944547134935307,0.3231211105792245,4178,-7.3,,,
467793,LAA,98,47,0.47959183673469385,0.3231211105792245,4178,48.4,,,
467793,LAD,47,9,0.19148936170212766,0.3231211105792245,4178,-40.7,,,
467793,MIA,80,32,0.4,0.3231211105792245,4178,23.8,,,
