rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
156,"Pallante, Andre",9.565345669323555,data_driven_full,22,15.05,4,9.03935838431025,7.6,28.1,15.05,11.025,2026-08-05,4.025,669467,22.0,18.98,28.1,22.727272727272727,4.545454545454546,22.727272727272727,8.510492632538075,4.090909090909091,8.0,5.636363636363637,0.4391669858192659,0.0826353388987908,0.2609011623590283
103,"Mahle, Tyler",10.392151196345484,data_driven_full,18,13.025000000000002,4,5.195751469550227,7.5,17.8,13.025000000000002,10.7375,2026-08-01,2.2875000000000014,641816,18.0,18.07,23.1,33.33333333333333,5.555555555555555,33.33333333333333,8.585776351359005,4.944444444444445,9.0,5.259261111111112,0.20150250996190477,0.25576906979273745,0.2286357898773211
262,"Springs, Jeffrey",7.940528736896407,data_driven_full,22,-0.6499999999999999,4,7.001190374976719,-8.6,7.5,-0.6499999999999999,0.1124999999999999,2026-07-31,-0.7624999999999998,605488,22.0,18.49000000000001,26.1,13.636363636363635,4.545454545454546,50.0,9.106089490053664,4.0,7.0,4.909081818181819,0.31119380651145834,0.0826353388987908,0.19691457270512458
138,"Liberatore, Matthew",9.745664850412274,data_driven_full,22,12.575,4,11.96282435993552,1.1,24.8,12.575,7.675000000000001,2026-08-02,4.9,669461,22.0,17.78,24.8,22.727272727272727,4.545454545454546,45.45454545454545,8.851502183759031,4.863636363636363,10.0,4.93939090909091,0.12576328139197676,0.0826353388987908,0.10419931014538378
183,"Cecconi, Slade",9.010919275346264,data_driven_full,21,1.275,4,2.9624033036258477,-1.9,4.4,-0.4249999999999998,7.4875,2026-08-06,-6.2125,677944,21.0,17.2,22.8,14.285714285714285,4.761904761904762,42.857142857142854,7.794879271492461,4.0,7.0,5.111109523809524,-0.025715175747880244,0.11973542409035073,0.04701012417123525
115,"Sproat, Brandon",10.108464950315703,data_driven_full,19,4.5,4,4.987317248113793,-1.1,9.8,4.5,9.2125,2026-08-03,-4.7125,687075,19.0,16.839999999999996,27.8,10.526315789473683,5.263157894736842,31.57894736842105,8.498682388416528,4.894736842105263,10.0,4.649121052631579,-0.11973628707606783,0.2056514108497528,0.04295756188684249
50,"Sheehan, Emmet",11.983405598431608,data_driven_full,20,6.625000000000001,4,10.195546413344736,-5.2,16.6,6.625000000000001,7.1000000000000005,2026-08-02,-0.4749999999999996,686218,20.0,16.810000000000002,22.9,5.0,5.0,35.0,8.554444828028846,5.4,10.0,4.76666,-0.1275713796867485,0.16054551780106677,0.01648706905715913
75,"Seymour, Ian",11.20743491543358,data_driven_full,8,8.575,4,11.830574795841494,-6.0,18.6,13.724999999999998,10.175,2026-08-03,-1.5999999999999996,693855,8.0,19.560000000000002,21.8,37.5,0.0,37.5,9.45708351297738,5.875,12.0,4.333325,0.5906454429591229,-0.6964664501239697,-0.052910503582423385
225,"Pérez, Martín",8.451041423972,data_driven_full,18,13.675,4,8.765224849749531,5.5,26.1,13.675,9.1875,2026-08-06,4.487499999999999,527048,18.0,15.59,26.1,5.555555555555555,5.555555555555555,22.22222222222222,6.373682101376861,3.7222222222222223,10.0,5.055555555555555,-0.4461984791878266,0.25576906979273745,-0.09521470469754459
127,"Gasser, Robert",9.953413069554502,data_driven_full,12,8.925,4,12.713870378448885,-10.1,16.5,8.925,12.775,2026-08-01,-3.85,688107,12.0,19.150000000000002,19.7,25.0,0.0,33.33333333333333,9.082196203495489,4.833333333333333,7.0,5.19445,0.4835658439464657,-0.6964664501239697,-0.106450303088752
