batter,seasons_used,h1_pa,h2_pa,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,team,rank,xfp_rh3_per_game,expected_total_fp_remaining,category
672695,4,1011,1091,0.2878,0.2823,-0.0055,-1.9,Geraldo Perdomo,AZ,33.0,1.98,207.3,EVEN
606132,4,982,570,0.2363,0.2316,-0.0047,-2.0,,,,,,EVEN
520471,3,974,665,0.2197,0.215,-0.0047,-2.1,,,,,,EVEN
645277,7,2493,1514,0.3329,0.3256,-0.0073,-2.2,Ozzie Albies,ATL,47.0,1.93,245.6,EVEN
641658,5,794,736,0.1474,0.144,-0.0033,-2.3,,,,,,EVEN
621020,7,2405,1891,0.2249,0.2195,-0.0055,-2.4,Dansby Swanson,CHC,119.0,1.75,197.4,EVEN
452678,3,864,594,0.2778,0.271,-0.0067,-2.4,,,,,,EVEN
571448,7,2464,1827,0.3896,0.3793,-0.0103,-2.6,Nolan Arenado,AZ,155.0,1.65,161.6,EVEN
663728,5,1181,1284,0.2616,0.2547,-0.007,-2.7,Cal Raleigh,SEA,135.0,1.71,212.1,EVEN
676801,4,693,758,0.2049,0.1992,-0.0057,-2.8,,,,,,EVEN
641531,5,1086,1022,0.2044,0.1986,-0.0058,-2.8,,,,,,EVEN
519317,6,1355,1474,0.2494,0.2422,-0.0072,-2.9,Giancarlo Stanton,NYY,229.0,1.52,117.9,EVEN
664034,6,1739,1415,0.28,0.2714,-0.0087,-3.1,Ty France,SD,67.0,1.86,87.5,EVEN
622534,6,1395,1070,0.2502,0.2421,-0.0081,-3.2,,,,,,EVEN
623912,5,1046,825,0.262,0.2533,-0.0086,-3.3,,,,,,EVEN
650559,4,893,925,0.1937,0.187,-0.0067,-3.5,,,,,,EVEN
592626,7,1648,1403,0.3192,0.3079,-0.0113,-3.5,Joc Pederson,TEX,206.0,1.56,122.4,EVEN
425877,4,899,799,0.2803,0.2703,-0.01,-3.6,,,,,,EVEN
641355,7,2058,1915,0.3314,0.3191,-0.0123,-3.7,Cody Bellinger,NYY,10.0,2.16,251.3,EVEN
676475,3,789,699,0.3346,0.3205,-0.0141,-4.2,Alec Burleson,STL,16.0,2.09,259.7,mild front
668804,6,1994,1798,0.3004,0.287,-0.0134,-4.5,Bryan Reynolds,PIT,169.0,1.62,212.3,mild front
502054,7,1996,1819,0.254,0.2424,-0.0116,-4.6,,,,,,mild front
650402,7,2203,1937,0.2964,0.2829,-0.0135,-4.6,Gleyber Torres,DET,163.0,1.63,198.2,mild front
592206,7,2528,1876,0.284,0.2708,-0.0132,-4.7,Nick Castellanos,SD,219.0,1.54,84.3,mild front
663624,5,1408,1121,0.2237,0.2132,-0.0105,-4.7,,,,,,mild front
672386,5,953,1045,0.3494,0.333,-0.0164,-4.7,,,,,,mild front
572228,4,719,748,0.235,0.2233,-0.0118,-5.0,,,,,,mild front
621043,7,2076,1405,0.3068,0.2911,-0.0157,-5.1,Carlos Correa,HOU,95.0,1.8,207.3,mild front
656305,7,2348,1944,0.2653,0.2515,-0.0138,-5.2,Matt Chapman,SF,246.0,1.48,176.4,mild front
593160,6,1991,1647,0.2928,0.2769,-0.016,-5.4,,,,,,mild front
545361,7,1982,910,0.3991,0.3769,-0.0222,-5.6,Mike Trout,LAA,15.0,2.1,279.4,mild front
641857,7,2088,1704,0.194,0.1831,-0.0109,-5.6,Ryan McMahon,NYY,282.0,1.4,101.3,mild front
630105,5,1703,1307,0.2936,0.277,-0.0166,-5.7,Jake Cronenworth,SD,237.0,1.5,141.5,mild front
622110,5,663,844,0.2353,0.2216,-0.0137,-5.8,,,,,,mild front
545121,5,432,610,0.3009,0.2836,-0.0173,-5.8,Ildemaro Vargas,AZ,28.0,2.03,184.6,mild front
642086,7,1182,803,0.2394,0.2254,-0.014,-5.9,Dominic Smith,ATL,76.0,1.83,110.6,mild front
572233,6,1964,1604,0.2856,0.2681,-0.0176,-6.1,Christian Walker,HOU,30.0,2.01,243.5,mild front
621028,7,1041,1022,0.2757,0.2583,-0.0174,-6.3,,,,,,mild front
493329,5,1487,1215,0.3685,0.3449,-0.0237,-6.4,,,,,,mild front
687263,3,813,672,0.2497,0.2321,-0.0175,-7.0,Zach Neto,LAA,215.0,1.54,212.1,mild front
656555,6,2004,1311,0.2914,0.2708,-0.0206,-7.1,Rhys Hoskins,CLE,255.0,1.46,117.1,mild front
500743,7,1678,1491,0.292,0.271,-0.0211,-7.2,Miguel Rojas,LAD,143.0,1.69,79.5,mild front
596847,5,624,861,0.266,0.2462,-0.0198,-7.4,,,,,,mild front
650333,6,1752,1659,0.4058,0.3755,-0.0303,-7.5,Luis Arraez,SF,64.0,1.86,213.6,mild front
624428,7,1904,1505,0.2988,0.2764,-0.0224,-7.5,Adam Frazier,LAA,261.0,1.44,77.5,mild front
