pid,year,n,sup_z,split,p,abs_i,abs_gap,sig
656427,2023,27,0.8889327216337373,20,0.9476309226932669,,0,False
656427,2024,28,2.2636274541784687,21,0.08977556109725686,,0,False
656427,2025,31,1.9138730559685693,22,0.2518703241895262,,0,False
656427,2026,19,1.3892821915816551,10,0.655860349127182,,0,False
656492,2026,26,2.340615880959004,19,0.22443890274314215,,0,False
656546,2017,16,3.3890069708701622,5,0.06483790523690773,,0,False
656546,2019,15,1.1874468471937518,5,0.46633416458852867,7,35,False
656550,2025,21,2.1782469987554154,14,0.6084788029925187,,0,False
656550,2026,24,1.7231148395594416,11,0.32169576059850374,,0,False
656557,2023,21,1.0779460946798414,12,0.628428927680798,13,67,False
656557,2024,30,2.694130586715561,16,0.256857855361596,,0,False
656605,2021,23,1.6580142539000182,10,0.543640897755611,12,52,False
656605,2022,29,1.7651616085589827,21,0.4937655860349127,,0,False
656605,2023,32,2.499928914584935,12,0.3092269326683292,,0,False
656605,2024,31,1.045354733976379,24,0.9201995012468828,,0,False
656605,2025,32,2.029184207869164,26,0.09975062344139651,,0,False
656605,2026,22,0.6489133220854566,15,0.9226932668329177,,0,False
656629,2022,25,1.9021019349080706,10,0.5536159600997507,,0,False
656629,2023,27,2.9807537158333357,13,0.07231920199501247,,0,False
656731,2021,18,0.4277602074213951,5,0.9975062344139651,,0,False
656731,2023,25,1.2437877449731745,17,0.6733167082294265,15,45,False
656756,2017,29,0.7832547710059801,21,0.9276807980049875,,0,False
656756,2021,30,1.5022740324315504,25,0.7406483790523691,,0,False
656756,2022,32,1.9558475512664075,15,0.2119700748129676,,0,False
656756,2023,32,0.8274740060626649,25,0.9600997506234414,,0,False
656756,2024,21,1.8664039096506442,15,0.34663341645885287,13,26,False
656794,2017,19,1.3560294648367943,5,0.5760598503740648,,0,False
656794,2018,30,2.1076201969005566,8,0.26932668329177056,,0,False
656849,2022,19,2.650058529039788,7,0.059850374064837904,,0,False
656849,2023,21,1.765446033406349,15,0.04239401496259352,8,43,False
656849,2024,21,1.8952486099191308,16,0.5885286783042394,,0,False
656849,2025,30,0.8946443221211052,21,0.9800498753117207,,0,False
656849,2026,17,1.5777293167608821,13,0.3316708229426434,7,26,False
656876,2022,28,1.1136594217859401,18,0.9576059850374065,,0,False
656876,2025,31,1.1492449882094948,25,0.6982543640897756,,0,False
656876,2026,25,1.2491514632105438,11,0.8653366583541147,,0,False
656954,2021,15,1.0010810944944364,6,0.4837905236907731,,0,False
657006,2022,24,3.132388845512044,18,0.18204488778054864,,0,False
657006,2023,30,1.97635176241193,20,0.22942643391521197,,0,False
657006,2024,24,1.0547224817149947,16,0.655860349127182,,0,False
657053,2023,16,1.1340989760181277,5,0.7805486284289277,,0,False
657093,2022,20,1.7763354566011105,8,0.27680798004987534,8,34,False
657140,2022,30,2.222017080521681,8,0.1770573566084788,,0,False
657141,2019,15,0.5369554407945555,5,0.9850374064837906,,0,False
657248,2022,27,1.3867209306406574,20,0.7605985037406484,,0,False
