owner,name,team,own,per_start,stuff,src,vol,inj,ret,xfp_ros,xfp_po
FA,Luis Severino,Oak,2.3,12.67,107.0,Stuff+·vol,0.114,SIXTY_DAY_DL,2027-02-01,0.0,0.0
FA,Chase Dollander,Col,2.4,9.36,,rp3_dd·vol,0.095,SIXTY_DAY_DL,2027-04-01,0.0,0.0
FA,Justin Steele,ChC,2.6,11.34,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Pablo Lopez,Min,2.9,11.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Cade Horton,ChC,6.9,9.98,,rp3_dd·vol,0.1,SIXTY_DAY_DL,2027-08-01,0.0,0.0
FA,Corbin Burnes,Ari,6.0,12.06,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Joe Musgrove,SD,9.3,10.8,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Spencer Schwellenbach,Atl,9.2,12.75,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Mitch Keller,Pit,13.3,9.45,92.0,Stuff+·vol,0.11,SIXTY_DAY_DL,2027-02-01,0.0,0.0
FA,Ryan Weathers,NYY,32.9,12.73,103.0,Stuff+·vol,0.171,FIFTEEN_DAY_DL,2026-09-22,0.0,0.0
FA,Ryan Pepiot,TB,30.4,9.85,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-02-01,0.0,0.0
FA,Cole Ragans,KC,45.3,13.44,109.0,Stuff+·vol,0.111,SIXTY_DAY_DL,2027-06-01,0.0,0.0
FA,Brandon Woodruff,Mil,41.3,11.19,95.0,Stuff+·vol,0.11,SIXTY_DAY_DL,2026-09-30,0.0,0.0
FA,Stephen Kolek,KC,1.9,9.55,92.0,Stuff+·vol,0.089,SIXTY_DAY_DL,2028-02-01,0.0,0.0
FA,Trevor McDonald,SF,0.9,11.35,99.0,Stuff+·vol,0.085,SIXTY_DAY_DL,2027-09-01,0.0,0.0
FA,Jose Berrios,Tor,0.9,9.58,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-08-01,0.0,0.0
FA,Reese Olson,Det,0.3,9.72,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Zach Eflin,Bal,0.3,9.56,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-07-01,0.0,0.0
FA,Clarke Schmidt,NYY,0.5,9.63,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Jack Kochanowicz,LAA,0.6,10.09,95.0,Stuff+·vol,0.1,SIXTY_DAY_DL,2027-09-01,0.0,0.0
FA,Quinn Priester,Mil,1.0,9.46,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Mick Abel,Min,1.4,10.07,,rp3_dd·vol,0.106,SIXTY_DAY_DL,2026-09-25,0.0,0.0
FA,DJ Herz,Wsh,0.1,9.59,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Kutter Crawford,Bos,0.1,9.62,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Tylor Megill,NYM,0.1,7.74,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Mitchell Parker,Wsh,0.1,6.49,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-09-01,0.0,0.0
FA,David Festa,Min,0.1,8.42,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Tanner Houck,Bos,0.1,9.73,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Alec Marsh,KC,0.0,7.78,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Bowden Francis,Tor,0.0,8.19,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Logan Evans,Sea,0.0,7.09,,talent_prior·flat↓,,SIXTY_DAY_DL,2026-10-19,0.0,0.0
FA,Ken Waldichuk,Wsh,0.0,5.91,,talent_prior·flat↓,,SIXTY_DAY_DL,2027-06-01,0.0,0.0
