pitcher,player_name,pitches,plv,plv_std,plv_raw,swing_pct,whiff_pct,cs_pct,xwoba_model,contact_pct,plv_pctile,primary_position,pitcher_role,avg_pitches_per_game,rolling_plv_30d,plv_blended,est_k_per_ip,est_bb_per_ip,est_h_per_ip,est_er_per_ip,est_hb_per_ip,fp_per_ip,fp_per_start,fp_per_app,sv_upside,hd_upside,est_sv_per_162,est_hd_per_162,sv_hd_fp_per_162,pl_plv,pl_pla,signal,profile_flag,sample_tier
668881,Hunter Greene,182,5.308,1.411,-0.044,0.521,0.373,0.513,0.341,0.627,91.2,P,SP,91.0,5.308,5.308,1.0286430383305842,0.2593836818537294,0.7492596021770757,0.410264334933743,0.033,2.4665,13.57,,,,0,0,0.0,,,Top Target,Bat-Miss Elite,Small
677161,Zack Kelly,308,5.214,1.395,-0.048,0.477,0.358,0.489,0.32,0.642,80.5,P,RP,17.11111111111111,5.534,5.31,1.0224581989323056,0.3069376076060429,0.7461337778448116,0.3897818239775337,0.033,2.4568,,2.46,+5/save (role-dependent),+2/hold (role-dependent),2,18,46.0,5.112557276386227,2.8451964539042924,Strong Add,Bat-Miss Elite,Okay
664076,Garrett Cleavinger,538,5.306,1.44,-0.045,0.457,0.385,0.448,0.317,0.615,90.9,P,RP,15.371428571428572,5.401,5.3345,1.0486611111824584,0.3864661960133497,0.7105855421347052,0.3815684234744452,0.033,2.4555,,2.46,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Strong
687531,William Kempner,199,5.314,1.383,-0.044,0.445,0.337,0.478,0.326,0.663,92.0,P,RP,22.11111111111111,5.469,5.3605,1.0393812246144338,0.3247131015285295,0.7590636225009119,0.3844822320028359,0.033,2.4536,,2.45,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Small
666171,Ryan Zeferjahn,886,5.262,1.345,-0.046,0.452,0.372,0.464,0.32,0.628,86.7,P,RP,22.15,5.483,5.328299999999999,1.0390462219989511,0.3551581523480489,0.7275673901855326,0.3857859145147198,0.033,2.4517,,2.45,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,4.9657064742848265,3.483592122782301,Top Target,"Bat-Miss Elite, Closer Value",Strong
694361,Will Klein,672,5.309,1.328,-0.044,0.467,0.36,0.501,0.339,0.64,91.5,P,RP,19.764705882352946,5.36,5.3243,1.0310950363356235,0.2819201704981404,0.7563259751402832,0.4047960131219624,0.033,2.4503,,2.45,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.099229444152698,2.7935069247903286,Top Target,"Bat-Miss Elite, Closer Value",Strong
662253,Andrés Muñoz,615,5.232,1.47,-0.047,0.46,0.408,0.438,0.317,0.592,83.4,P,RP,15.76923076923077,5.495,5.3109,1.047132379729235,0.4082613069327387,0.6937966761108434,0.3867216181915169,0.033,2.4386,,2.44,+5/save (role-dependent),+2/hold (role-dependent),2,18,46.0,4.767323288465125,4.327298964371426,Strong Add,Bat-Miss Elite,Strong
696149,Bubba Chandler,1631,5.368,1.424,-0.042,0.511,0.358,0.48,0.33,0.642,93.7,P,SP,85.84210526315789,5.241,5.3299,1.0331306902679531,0.3232177100547991,0.7493805629864754,0.3949821642096959,0.033,2.4376,13.41,,,,0,0,0.0,5.141883328136919,2.889746017878114,Top Target,Bat-Miss Elite,Strong
696519,Samy Natera,313,5.299,1.37,-0.045,0.451,0.358,0.485,0.338,0.642,90.1,P,RP,20.866666666666667,5.43,5.338299999999999,1.0376356614850102,0.3125958155354926,0.75389960775701,0.4007844713222218,0.033,2.4366,,2.44,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
646241,Enmanuel De Jesus,536,5.271,1.392,-0.046,0.482,0.322,0.517,0.334,0.678,87.3,P,RP,22.33333333333333,5.432,5.3193,1.0100279618141466,0.2505148347362318,0.7911394241324483,0.4011149822495463,0.033,2.4331,,2.43,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.050736962888344,3.037801642867632,Top Target,"Bat-Miss Elite, Closer Value",Strong
595345,Steven Okert,772,5.307,1.293,-0.044,0.51,0.356,0.523,0.34,0.644,91.1,P,RP,15.755102040816327,5.231,5.2842,1.0076538414103973,0.2414316087503367,0.7713746889214271,0.414506638909651,0.033,2.4328,,2.43,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.150936134721931,2.6733337142689857,Top Target,"Bat-Miss Elite, Closer Value",Strong
691799,Grant Taylor,787,5.323,1.424,-0.044,0.508,0.345,0.506,0.333,0.655,92.5,P,RP,21.86111111111111,5.27,5.3071,1.0146131198697856,0.2733738407064605,0.7706042775944268,0.4028243600085885,0.033,2.432,,2.43,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.31265406065203,2.1561837787586766,Top Target,"Bat-Miss Elite, Closer Value",Strong
656302,Dylan Cease,1694,5.353,1.367,-0.043,0.475,0.385,0.44,0.321,0.615,93.2,P,SP,99.6470588235294,5.293,5.335,1.0489292642310928,0.4023310173886498,0.7137905408007772,0.385277493151605,0.033,2.4293,13.36,,,,0,0,0.0,5.006341575142135,3.434840042411168,Top Target,Bat-Miss Elite,Strong
699823,Tyler Davis,394,5.375,1.446,-0.042,0.482,0.372,0.483,0.334,0.628,94.1,P,RP,16.416666666666668,5.159,5.3102,1.0293390816383878,0.3188504120682733,0.7438572379962367,0.4031020191955357,0.033,2.4274,,2.43,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,,,Top Target,"Bat-Miss Elite, Closer Value",Okay
689254,Mason Fluharty,682,5.302,1.326,-0.045,0.485,0.377,0.469,0.318,0.623,90.6,P,RP,13.372549019607844,5.268,5.291799999999999,1.0218901999795813,0.3481766037768063,0.7302672483912106,0.3918467741038454,0.033,2.4268,,2.43,+5/save (role-dependent),+2/hold (role-dependent),28,0,140.0,5.136210534600732,2.901247140511953,Top Target,"Bat-Miss Elite, Closer Value",Strong
663941,Tristan Beck,193,5.221,1.347,-0.048,0.493,0.354,0.515,0.338,0.646,82.4,P,RP,21.444444444444443,5.449,5.2894,1.009474972903819,0.2569153694139239,0.770363830448928,0.411462065460561,0.033,2.4263,,2.43,+5/save (role-dependent),+2/hold (role-dependent),2,18,46.0,,,Strong Add,Bat-Miss Elite,Small
