batter_name,batter,pa,confidence,process_plus,decision_plus,contact_plus,power_plus,swing_pct,chase_pct,xwoba_actual,xwoba_vs_expected,tag
Salvador Pérez,521692,647,Tier A,121.6,104.3,108.8,115.4,0.575,0.417,0.427,0.071,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Jazz Chisholm,665862,564,Tier A,113.0,99.6,93.6,115.2,0.469,0.265,0.432,0.07,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Austin Riley,663586,447,Tier A,114.3,111.3,91.2,115.2,0.51,0.282,0.44,0.07,Power+ elite (top 10%); xwOBA above model expectation; Process+ also strong
Julio Rodríguez,677594,771,Tier A,119.4,110.9,102.8,114.8,0.547,0.349,0.427,0.068,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Will Benson,666181,254,Tier B,115.0,105.0,97.5,114.3,0.528,0.253,0.439,0.065,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Dansby Swanson,621020,666,Tier A,115.0,120.6,90.8,114.1,0.503,0.253,0.441,0.064,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Brandon Lowe,664040,561,Tier A,113.8,118.2,89.9,114.0,0.553,0.294,0.434,0.063,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Bryce Harper,547180,602,Tier A,117.4,113.7,99.8,113.7,0.543,0.343,0.417,0.062,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Mickey Moniak,666160,468,Tier A,115.9,103.9,101.9,113.3,0.563,0.362,0.426,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Rowdy Tellez,642133,321,Tier B,111.6,77.7,104.8,113.3,0.45,0.295,0.424,0.06,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Tyler O'Neill,641933,209,Tier C,114.2,110.6,96.2,113.0,0.474,0.296,0.438,0.058,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Seiya Suzuki,673548,673,Tier A,112.6,96.0,99.7,112.8,0.407,0.229,0.437,0.057,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Kerry Carpenter,681481,509,Tier A,114.5,100.8,101.8,112.7,0.525,0.348,0.422,0.057,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Lenyn Sosa,672820,553,Tier A,113.1,76.8,110.1,112.4,0.509,0.406,0.411,0.056,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Ryan Mcmahon,641857,615,Tier A,106.3,104.7,83.5,112.4,0.456,0.253,0.429,0.056,Power+ strong (top 25%); xwOBA above model expectation
Bobby Witt,677951,692,Tier A,119.5,105.4,111.6,112.0,0.51,0.321,0.424,0.054,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Christopher Morel,666624,319,Tier B,109.0,122.5,82.5,111.9,0.529,0.288,0.438,0.053,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Will Smith,669257,497,Tier A,112.0,94.7,101.5,111.7,0.392,0.21,0.426,0.052,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Derek Hill,656537,154,Tier C,105.3,94.7,88.2,111.4,0.531,0.372,0.425,0.05,Power+ strong (top 25%); xwOBA above model expectation
Tyler Stephenson,663886,348,Tier B,104.8,94.2,87.6,111.3,0.438,0.271,0.426,0.05,Power+ strong (top 25%); xwOBA above model expectation
Trent Grisham,663757,621,Tier A,110.5,91.8,101.2,111.0,0.387,0.187,0.425,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Addison Barger,680718,573,Tier A,111.7,88.8,105.1,111.0,0.484,0.294,0.413,0.048,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
Vladimir Guerrero,665489,768,Tier A,121.7,94.7,123.5,110.8,0.424,0.248,0.415,0.047,Power+ strong (top 25%); xwOBA above model expectation; Process+ also strong
