pitcher,player_name,cur_n,cur_rate,pct_rank,n_comparable,n_bounce_eval,bounce_pct,median_next_rate,median_delta,unprecedented
689296,Anthony Nunez,15,0.4555555555555553,,0,,,,,True
689520,Cody Laweryson,5,0.9421052631578947,0.0,0,,,,,True
690925,Clayton Beeter,10,0.63125,25.0,5,,,,,False
693312,Kyle Nicolas,7,-0.4454545454545455,2.5,2,,,,,False
693686,Spencer Miles,10,0.793877551020408,,0,,,,,True
693855,Ian Seymour,14,0.6434782608695653,100.0,1,,,,,False
694037,Daniel Palencia,5,1.1,82.8,72,37.0,70.3,0.7652,0.1634,False
694335,Matt Svanson,16,0.09999999999999996,0.0,0,,,,,True
694361,Will Klein,10,0.7428571428571429,100.0,13,,,,,False
694851,Andrew Hoffmann,8,-0.02121212121212119,0.0,0,,,,,True
694918,Blade Tidwell,8,0.7666666666666666,,0,,,,,True
695243,Mason Miller,16,1.5082,98.1,102,71.0,62.0,1.1521,0.143,False
695418,Brad Lord,11,0.4661971830985915,0.0,0,,,,,True
696147,Sam Bachman,12,0.8959183673469387,100.0,23,,,,,False
699134,Bradgley Rodriguez,13,0.6217391304347826,,0,,,,,True
700669,Gordon Graceffo,14,0.8999999999999999,100.0,14,,,,,False
701552,Andre Granillo,7,-0.08181818181818193,0.0,0,,,,,True
701719,Tyler Samaniego,9,0.9181818181818182,,0,,,,,True
702193,Andrew Morris,6,0.6227272727272727,,0,,,,,True
702303,Riley Martin,7,0.9636363636363637,,0,,,,,True
805123,AJ Blubaugh,14,0.5769230769230769,,0,,,,,True
