pitcher,seasons_used,h1_gs,h2_gs,h1_rate,h2_rate,h2_lift_abs,h2_lift_pct,player_name,rank,xfp_rp3_per_start_sched,gs_to,category
605507,2,18,18,8.911,6.061,-2.85,-32.0,,,,,FRONT-LOADED
669467,3,30,27,9.793,6.578,-3.216,-32.8,"Pallante, Andre",121.0,8.93,6.0,FRONT-LOADED
502190,2,36,27,10.606,7.119,-3.487,-32.9,,,,,FRONT-LOADED
607200,6,76,56,9.166,6.12,-3.046,-33.2,"Fedde, Erick",135.0,8.39,4.0,FRONT-LOADED
594902,4,35,20,10.48,6.87,-3.61,-34.4,,,,,FRONT-LOADED
669022,4,66,35,11.914,7.789,-4.125,-34.6,"Gore, MacKenzie",52.0,10.27,7.0,FRONT-LOADED
519455,2,21,27,8.376,5.407,-2.969,-35.4,,,,,FRONT-LOADED
641816,6,87,36,12.216,7.842,-4.374,-35.8,"Mahle, Tyler",97.0,9.68,7.0,FRONT-LOADED
592836,5,65,60,11.083,6.857,-4.226,-38.1,"Walker, Taijuan",177.0,6.04,4.0,FRONT-LOADED
669160,4,30,13,11.723,7.162,-4.562,-38.9,"May, Dustin",146.0,8.41,7.0,FRONT-LOADED
592826,5,56,34,9.743,5.553,-4.19,-43.0,,,,,FRONT-LOADED
621112,5,37,33,10.219,5.797,-4.422,-43.3,,,,,FRONT-LOADED
663623,3,47,43,10.838,6.04,-4.799,-44.3,"Irvin, Jake",92.0,9.66,7.0,FRONT-LOADED
433587,2,27,16,8.044,4.444,-3.601,-44.8,,,,,FRONT-LOADED
630023,3,17,11,12.665,6.955,-5.71,-45.1,,,,,FRONT-LOADED
680730,2,33,26,9.652,4.965,-4.686,-48.6,,,,,FRONT-LOADED
592229,2,17,16,7.218,3.525,-3.693,-51.2,,,,,FRONT-LOADED
592761,3,37,20,12.189,5.71,-6.479,-53.2,,,,,FRONT-LOADED
656629,2,31,21,11.029,5.038,-5.991,-54.3,,,,,FRONT-LOADED
488768,2,34,17,9.171,2.512,-6.659,-72.6,,,,,FRONT-LOADED
