rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8
311,"Wicks, Jordan",7.067169333392888,data_driven_thin,2,-5.05,2,3.747665940288702,-7.7,-2.4,-0.7249999999999999,-5.05,2026-07-01,0.0
312,"Palmquist, Carson",7.052372992119851,data_driven_thin,5,-1.275,4,6.907182252312926,-6.5,8.9,0.3750000000000001,-0.4666666666666668,2026-08-04,-0.8083333333333331
313,Luis Morales,6.96592818106426,data_driven_thin,2,-6.4,2,12.303657992645926,-15.1,2.3,-7.125,-6.4,2026-07-31,0.0
314,"Giolito, Lucas",6.936774737117135,data_driven_thin,5,4.175,4,7.660450378404653,-7.2,9.5,3.7749999999999995,5.04,2026-06-21,-0.8650000000000002
315,"Drake, Kohl",6.936033033008052,data_driven_thin,4,4.75,4,6.700497493967643,-0.9,12.5,4.75,4.75,2026-08-06,0.0
316,"Allen, Logan",6.92,marcel_il,0,1.0,1,,1.0,1.0,7.6,1.0,2026-07-18,0.0
317,"Aldegheri, Sam",6.909236831370784,data_driven_thin,6,2.0,4,9.778547949465707,-11.1,12.5,2.0,3.9499999999999997,2026-07-04,-1.9499999999999997
318,"Quintana, Jose",6.908582198581264,marcel_il,9,1.9999999999999996,4,10.785484071967593,-13.6,9.7,1.9999999999999996,5.0,2026-05-24,-3.0000000000000004
319,"Hendricks, Kyle",6.9,marcel_il,0,,0,,,,,,,
320,"Kochanowicz, Jack",6.893725306193739,marcel_il,12,-3.55,4,13.083959645306155,-18.9,12.8,-3.55,0.8125000000000004,2026-06-06,-4.362500000000001
321,"Paredes, Mike",6.84619391670515,marcel_il,5,5.425,4,2.212653007891959,3.2,8.4,2.825,5.92,2026-07-21,-0.4950000000000001
322,"Corbin, Patrick",6.835679304616042,marcel_il,15,-0.14999999999999997,4,4.290687590584986,-6.1,4.1,2.825,4.425,2026-07-21,-4.575
326,"Falter, Bailey",6.693845736793117,data_driven_thin,2,-8.85,2,9.121677477306465,-15.3,-2.4,-6.75,-8.85,2026-05-26,0.0
327,"Scholtens, Jesse",6.63685247875188,data_driven_thin,2,7.050000000000001,2,1.9091883092036785,5.7,8.4,5.875,7.050000000000001,2026-05-25,0.0
