batter,bb_pct_AVG,bb_pct_STRONG,bb_pct_WEAK,iso_AVG,iso_STRONG,iso_WEAK,k_pct_AVG,k_pct_STRONG,k_pct_WEAK,pa_AVG,pa_STRONG,pa_WEAK,bb_protect_lift,iso_protect_lift,player_name
681624,5.23,5.63,5.92,0.147,0.189,0.191,23.83,23.0,20.33,554.0,426.0,777.0,-0.29,-0.002,Andy Pages
681715,7.91,,10.32,0.219,,0.164,32.37,,24.6,139.0,,252.0,,,Heriberto Hernández
681807,8.47,6.03,8.87,0.186,0.254,0.184,27.05,24.47,26.95,366.0,282.0,282.0,-2.84,0.07,
681987,4.44,,7.74,0.057,,0.143,32.59,,19.64,135.0,,168.0,,,
682073,,,12.78,,,0.052,,,33.08,,,133.0,,,
682177,8.18,7.88,12.39,0.11,0.127,0.175,29.55,30.71,26.58,220.0,368.0,444.0,-4.51,-0.048,Daniel Schneemann
682622,5.39,2.94,5.07,0.155,0.165,0.129,26.59,22.94,27.04,519.0,340.0,355.0,-2.13,0.036,
682626,8.94,10.45,7.18,0.176,0.206,0.213,26.12,23.87,25.9,425.0,641.0,529.0,3.27,-0.007,Francisco Alvarez
682641,5.36,6.51,5.88,0.103,0.075,0.121,13.93,13.95,10.96,280.0,215.0,374.0,0.63,-0.046,
682653,,,3.57,,,0.167,,,12.5,,,112.0,,,
682657,7.24,6.16,5.58,0.075,0.144,0.122,21.72,20.3,23.86,221.0,601.0,197.0,0.58,0.022,Angel Martínez
682663,7.03,4.91,7.59,0.15,0.18,0.28,20.37,20.19,12.03,427.0,530.0,158.0,-2.68,-0.1,Agustín Ramírez
682668,,5.92,,,0.157,,,15.13,,,152.0,,,,Luisangel Acuña
682829,9.0,8.8,10.57,0.186,0.177,0.23,31.24,30.73,26.19,1434.0,1318.0,653.0,-1.77,-0.053,Elly De La Cruz
682848,9.29,,5.8,0.119,,0.119,17.86,,24.15,140.0,,207.0,,,
682868,,,5.8,,,0.171,,,18.12,,,138.0,,,
682928,5.2,4.08,7.18,0.148,0.171,0.18,20.26,19.52,18.6,1308.0,1322.0,1253.0,-3.1,-0.009,CJ Abrams
682985,8.92,8.66,8.9,0.209,0.199,0.144,28.99,27.06,27.67,2063.0,739.0,1124.0,-0.24,0.055,Riley Greene
682988,,,6.47,,,0.071,,,40.29,,,139.0,,,
682998,8.89,9.93,11.44,0.219,0.23,0.25,21.49,21.45,18.26,754.0,2457.0,734.0,-1.51,-0.02,Corbin Carroll
683002,10.11,9.4,10.43,0.198,0.212,0.21,24.15,22.2,23.32,1147.0,1946.0,892.0,-1.03,0.002,Gunnar Henderson
683011,7.7,7.47,7.23,0.139,0.147,0.175,25.68,22.72,26.22,740.0,977.0,1396.0,0.24,-0.028,
683021,9.5,7.1,,0.052,0.039,,18.99,12.43,,179.0,169.0,,,,
683083,,,7.48,,,0.144,,,19.63,,,107.0,,,Nasim Nuñez
683146,8.4,6.91,8.25,0.125,0.172,0.145,26.84,21.66,25.17,488.0,217.0,715.0,-1.34,0.027,Brett Baty
683734,6.42,6.08,6.97,0.148,0.145,0.183,19.06,20.96,20.01,1527.0,1102.0,1994.0,-0.89,-0.038,
683737,10.55,9.44,9.9,0.195,0.277,0.207,27.82,23.44,25.81,550.0,964.0,616.0,-0.46,0.07,Michael Busch
683766,3.54,,7.41,0.124,,0.094,27.43,,16.67,113.0,,108.0,,,
686217,7.49,8.67,9.23,0.092,0.113,0.104,14.99,17.06,11.56,814.0,727.0,813.0,-0.56,0.009,Sal Frelick
686452,,,5.71,,,0.116,,,17.86,,,140.0,,,Drew Millas
686469,8.55,6.88,9.66,0.185,0.197,0.213,13.72,13.0,13.89,1064.0,1439.0,828.0,-2.78,-0.016,Vinnie Pasquantino
686527,8.26,,6.32,0.102,,0.166,23.97,,22.86,242.0,,538.0,,,Dominic Canzone
686554,,,6.67,,,0.105,,,29.52,,,105.0,,,
686555,17.58,12.5,9.13,0.191,0.171,0.079,22.66,21.77,21.92,256.0,248.0,219.0,3.37,0.092,Isaac Collins
686611,8.06,8.47,8.44,0.141,0.168,0.138,23.39,25.42,18.75,248.0,118.0,320.0,0.03,0.03,
686668,6.75,5.37,6.33,0.148,0.193,0.137,29.76,30.61,27.16,578.0,820.0,1248.0,-0.96,0.056,Brenton Doyle
686676,6.01,2.83,5.1,0.163,0.107,0.141,29.51,32.08,29.8,183.0,106.0,510.0,-2.27,-0.034,
686681,4.33,4.27,4.1,0.185,0.138,0.14,18.17,20.1,18.02,578.0,398.0,927.0,0.17,-0.002,Michael Massey
686765,,,7.04,,,0.039,,,26.63,,,199.0,,,
686780,6.34,,4.35,0.154,,0.125,26.06,,28.34,142.0,,667.0,,,Pedro Pagés
686797,4.01,10.59,6.23,0.119,0.061,0.125,16.97,14.12,18.43,548.0,170.0,369.0,4.36,-0.064,Brooks Lee
686823,2.84,4.69,4.2,0.126,0.06,0.101,12.41,15.1,13.15,282.0,192.0,715.0,0.49,-0.041,
686894,8.07,7.11,5.44,0.122,0.158,0.162,29.81,28.66,37.41,161.0,506.0,147.0,1.67,-0.004,Joey Wiemer
686948,9.47,7.02,8.8,0.199,0.255,0.163,12.53,14.91,18.0,359.0,114.0,250.0,-1.78,0.092,Drake Baldwin
687093,8.53,5.81,5.51,0.139,0.126,0.023,17.05,22.09,19.49,129.0,172.0,236.0,0.3,0.103,Vaughn Grissom
687221,,8.73,,,0.109,,,39.68,,,126.0,,,,Dalton Rushing
687231,,4.0,12.08,,0.109,0.066,,18.0,15.09,,100.0,265.0,-8.08,0.043,Darell Hernaiz
687263,6.22,5.7,6.91,0.176,0.199,0.209,26.75,25.64,22.94,643.0,1334.0,680.0,-1.21,-0.01,Zach Neto
687363,8.45,6.45,9.52,0.085,0.093,0.094,27.41,23.71,25.6,343.0,620.0,168.0,-3.07,-0.001,Victor Scott II
