rank,pitcher,player_name,gs_to,fp_per_start_to,xfp_rp1_per_start,k_pct_to,bb_pct_to,swstr_pct_to,c_plus_swstr_to,zone_pct_to,z_swing_pct_to,o_swing_pct_to,avg_velo_to,xwoba_per_pa_to,xwoba_x_swstr_to,fp_per_start_to,gs_to,split_day
13,677952,"Ashcraft, Braxton",5,15.739999999999998,13.227383558109377,0.2758620689655172,0.0775862068965517,0.1471264367816092,0.3149425287356321,0.4689655172413793,0.6323529411764706,0.3376623376623376,92.20298850574711,0.2314912280701754,0.0340584795321637,15.739999999999998,5,30
14,684007,"Imanaga, Shota",5,19.34,13.206325677120198,0.2962962962962963,0.0555555555555555,0.1590413943355119,0.2875816993464052,0.4357298474945534,0.67,0.4092664092664093,87.23202614379085,0.2494444444444444,0.0396719922536916,19.34,5,30
15,592332,"Gausman, Kevin",6,16.416666666666664,13.069201959010757,0.2753623188405797,0.0434782608695652,0.1566037735849056,0.3075471698113207,0.4641509433962264,0.7073170731707317,0.3697183098591549,89.01679245283019,0.2827080291970803,0.0442731441950144,16.416666666666664,6,30
16,668909,"Williams, Gavin",6,15.749999999999998,12.978767737053783,0.3098591549295774,0.1338028169014084,0.1398230088495575,0.3238938053097345,0.4601769911504424,0.6192307692307693,0.3147540983606557,90.58230088495576,0.3199647887323943,0.0447384394864763,15.749999999999998,6,30
17,650911,"Sánchez, Cristopher",6,11.649999999999997,12.835053973497956,0.2810457516339869,0.065359477124183,0.1578014184397163,0.3226950354609929,0.4840425531914893,0.663003663003663,0.3505154639175257,89.83085106382978,0.2898431372549019,0.0457376581838409,11.649999999999997,6,30
18,694973,"Skenes, Paul",5,20.1,12.814153376210918,0.2727272727272727,0.0636363636363636,0.1210762331838565,0.2757847533632287,0.4775784753363228,0.7089201877934272,0.3218884120171674,92.98856502242153,0.2261181818181818,0.0273775377089278,20.1,5,30
19,672282,"Detmers, Reid",5,14.099999999999998,12.406956527898512,0.2583333333333333,0.0666666666666666,0.1496881496881497,0.3118503118503118,0.4885654885654886,0.6553191489361702,0.3617886178861789,87.929375,0.2643109243697479,0.039564213211272,14.099999999999998,5,30
20,677960,"Weathers, Ryan",6,14.133333333333333,12.350985566882045,0.291970802919708,0.0583941605839416,0.1275415896487985,0.3271719038817005,0.4713493530499076,0.6,0.3356643356643357,89.62518518518519,0.3389338235294117,0.0432281586386865,14.133333333333333,6,30
21,666200,"Luzardo, Jesús",5,8.799999999999999,12.174109318983964,0.2682926829268293,0.073170731707317,0.1514522821576763,0.3236514522821577,0.4398340248962655,0.6037735849056604,0.3518518518518518,91.13547717842324,0.3186147540983606,0.0482549316373035,8.799999999999999,5,30
22,808967,"Yamamoto, Yoshinobu",5,17.52,12.17062508010899,0.2276422764227642,0.040650406504065,0.146694214876033,0.2871900826446281,0.4855371900826446,0.6936170212765957,0.3092369477911647,90.34318181818182,0.3031869918699187,0.0444757777329839,17.52,5,30
23,681190,"Vásquez, Randy",5,15.26,12.138135444327343,0.2631578947368421,0.0701754385964912,0.1425287356321839,0.2873563218390804,0.4689655172413793,0.696078431372549,0.3246753246753247,90.7183908045977,0.3272719298245614,0.0466456543657995,15.26,5,30
24,676974,"Meyer, Max",5,11.5,12.072561689458729,0.2522522522522522,0.0990990990990991,0.1511627906976744,0.3023255813953488,0.5,0.6837209302325581,0.3255813953488372,90.80372093023256,0.3294363636363636,0.0497985200845665,11.5,5,30
25,800048,"Messick, Parker",5,17.96,12.06543844670875,0.2566371681415929,0.0707964601769911,0.1272321428571428,0.2857142857142857,0.4486607142857143,0.6417910447761194,0.3846153846153846,88.67991071428571,0.2836548672566371,0.0360900165929203,17.96,5,30
26,656876,"Rasmussen, Drew",5,15.139999999999995,12.032325712705955,0.2653061224489796,0.0408163265306122,0.105,0.315,0.5,0.595,0.285,92.30875,0.2605816326530612,0.0273610714285714,15.139999999999995,5,30
27,642547,"Peralta, Freddy",6,14.283333333333331,11.956284444328595,0.2589928057553957,0.0935251798561151,0.142602495543672,0.2994652406417112,0.4491978609625668,0.6626984126984127,0.3203883495145631,88.88199643493762,0.3013695652173913,0.0429760520809114,14.283333333333331,6,30
28,683004,"Leiter, Jack",5,8.7,11.864305820582029,0.2589285714285714,0.0982142857142857,0.1503267973856209,0.3071895424836601,0.485838779956427,0.6591928251121076,0.3135593220338983,91.9917211328976,0.3502232142857143,0.0526479341736694,8.7,5,30
