Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,CH,CU,FC,FS
Evan Phillips,623465,921,5.241791530944626,2.308210625096944,2.953159067669173,2.2350043561076607,2.190651288171288,8.161797571428572,8.161797571428572,1.961192227602906,8.161797571428572
Yu Darvish,506433,2970,5.273861952861952,2.3105440017123287,2.693311248301084,3.6159455944512553,1.9185021333601933,8.161797571428572,3.173641843271555,1.5242154431176682,3.639729598053352
Penn Murfee,682171,997,5.221775325977935,2.3312036404935963,2.522866660116565,3.661749175660161,1.9944216816471567,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Shane McClanahan,663556,2462,5.22549147034931,2.342640769539078,2.338651961012935,8.161797571428572,2.486072048209822,2.4929560950143093,2.085178483678624,8.161797571428572,8.161797571428572
Jeffrey Springs,605488,2146,5.295573159366263,2.348104943349753,2.724282109422492,2.534364197802198,2.2700377879671345,1.9922792456445988,8.161797571428572,8.161797571428572,8.161797571428572
Drew Rasmussen,656876,2237,5.261305319624498,2.3796988767123284,2.595266516870234,3.222742088759617,2.436966774137189,8.161797571428572,3.588657606986301,1.8333403903242584,8.161797571428572
Dylan Lee,669276,754,5.228461538461539,2.3926673486842107,2.026387509782108,8.161797571428572,2.670281808436533,4.199477705526316,2.4196047695590326,8.161797571428572,8.161797571428572
Joe Jiménez,641729,924,5.3010064935064936,2.397460394117647,1.956510709232303,8.161797571428572,2.9496865779618893,4.464021951529412,8.161797571428572,8.161797571428572,8.161797571428572
Chris Paddack,663978,349,5.277249283667622,2.4002256255826886,2.5351579445629,8.161797571428572,8.161797571428572,1.0232182406912804,4.020433214466131,8.161797571428572,8.161797571428572
Zac Gallen,668678,2934,5.260957736877983,2.402180900490131,2.4658501926563225,8.161797571428572,1.5828412916281225,2.2434997356069277,2.3056920117147874,2.589013006585211,8.161797571428572
Sandy Alcantara,645261,3239,5.17498919419574,2.430574468704573,3.117929807253818,2.262304909993403,2.15465769234246,2.1889248554852427,8.161797571428572,8.161797571428572,8.161797571428572
Julio Urías,628711,2622,5.217734553775744,2.44024056,2.5495283599533907,3.236407837100213,8.161797571428572,3.5119241485714285,1.6658788570250365,8.161797571428572,8.161797571428572
Justin Bruihl,677865,326,5.175644171779141,2.446857904821567,8.161797571428572,2.565271479791793,2.423038259886241,8.161797571428572,8.161797571428572,2.4299841470070422,8.161797571428572
A.J. Minter,621345,1111,5.254158415841584,2.452168285714285,2.2146181240845797,8.161797571428572,8.161797571428572,3.728851668869936,8.161797571428572,2.1010149978731936,8.161797571428572
Garrett Cleavinger,664076,335,5.202119402985074,2.455052111486048,2.391338172852598,2.427024305016723,2.520757022182786,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Ryan Thompson,657044,662,5.251042296072508,2.4557031431858958,4.292031688555745,2.001799419921875,2.49803834765625,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Zack Wheeler,554430,2358,5.236187446988974,2.465221588235294,2.192870285468932,2.5861079290930817,2.425523688876498,3.739741764705882,3.103054944944525,8.161797571428572,8.161797571428572
Caleb Thielbar,573204,987,5.2970212765957445,2.4696995566408253,2.653271474075256,8.161797571428572,2.2712037496375497,8.161797571428572,2.3019190885174017,8.161797571428572,8.161797571428572
Nestor Cortes,641482,2462,5.217376116978067,2.4954836264705627,2.0535718854085485,3.656724907987616,2.286160323178445,4.384001815857074,8.161797571428572,2.890607344390243,8.161797571428572
Austin Pruitt,643493,808,5.177054455445545,2.4967487168674705,3.8858908229707154,8.161797571428572,0.9952008800881762,2.5215610219058044,3.1226276063738827,2.344679710843373,8.161797571428572
Justin Verlander,434378,2607,5.1945799769850405,2.4999202285714284,2.2571730472015656,8.161797571428572,2.496793396481732,3.823813292946429,2.9826781247230327,8.161797571428572,8.161797571428572
Stephen Nogosek,668665,368,5.285951086956522,2.535449005805336,2.487516946728431,8.161797571428572,2.187830390909091,6.105759582644629,8.161797571428572,1.637616728305785,8.161797571428572
Collin McHugh,543521,1072,5.203740671641791,2.5375633530783586,8.161797571428572,8.161797571428572,2.597805950934066,8.161797571428572,2.7795556514423074,2.4586218919915703,8.161797571428572
Max Scherzer,453286,2167,5.177784956160591,2.545671405963303,2.2236823336934304,8.161797571428572,2.35425297078706,3.211724839441109,2.8402187587844034,3.4232438221266883,8.161797571428572
Craig Kimbrel,518886,1076,5.313633828996282,2.5503741,1.9949867804613293,8.161797571428572,8.161797571428572,8.161797571428572,3.757809069026549,8.161797571428572,8.161797571428572
Ross Stripling,548389,2022,5.179470820969337,2.5523702977667493,3.2901633358396363,3.2978940058489905,2.030594810717372,2.0097341760566247,2.118466023877044,8.161797571428572,8.161797571428572
Kevin Gausman,592332,2783,5.218242903341718,2.5616480324427484,2.1542995045809974,8.161797571428572,3.606516516933463,4.01721535591603,8.161797571428572,8.161797571428572,2.5905322147357084
Reynaldo López,625643,984,5.176229674796748,2.5640599591836737,2.055832793877552,8.161797571428572,2.959875085938963,5.1947011277728485,2.902111072722047,8.161797571428572,8.161797571428572
J.P. Feyereisen,656420,344,5.107093023255814,2.5653369452054795,2.802407226430298,8.161797571428572,2.736067946301369,1.97912976787596,8.161797571428572,8.161797571428572,8.161797571428572
Logan Webb,657277,3005,5.200525790349418,2.566370682842287,4.882093587424297,2.090750563310697,2.7790848876660306,2.626131924423509,8.161797571428572,8.161797571428572,8.161797571428572
Gerrit Cole,543037,3273,5.226862205927284,2.580900353820598,2.0645396455983005,8.161797571428572,2.4868226239769315,4.337874072150801,3.232143158877189,3.6346172937684784,8.161797571428572
Chris Martin,455119,853,5.189812426729191,2.590827346612795,3.086505989079103,3.0329836256868137,2.885341869300912,8.161797571428572,1.7821817831632651,1.7076408559523806,2.9581272082528955
Matt Festa,670036,893,5.232441209406495,2.5914092273236284,2.894723418814433,8.161797571428572,2.3583678287128715,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Connor Brogdon,641401,710,5.231422535211268,2.592346704545454,2.227412099519423,8.161797571428572,8.161797571428572,2.6575521809298195,8.161797571428572,2.94929030733471,8.161797571428572
Carlos Rodón,607074,2983,5.249353000335233,2.5930221573033707,2.259355255890411,8.161797571428572,2.8162930258536054,3.956716586269282,4.462278137673112,8.161797571428572,8.161797571428572
Nathan Eovaldi,543135,1739,5.21666474985624,2.5936927682926827,2.247133244118155,4.497980109854445,2.720483214738447,3.3488789381276907,2.959937729955689,2.342470676124238,2.715133986267233
Brooks Raley,548384,829,5.194173703256936,2.5968640903880305,8.161797571428572,3.343272992711371,1.2897505781606895,4.370842360248448,8.161797571428572,2.419998029628487,8.161797571428572
Shohei Ohtani,660271,2628,5.199208523592086,2.604567307228916,3.43579872249762,3.7112035403352537,1.4895276135292157,8.161797571428572,4.155094032554709,1.9863001945291896,3.1836152794253945
Clayton Kershaw,477132,1827,5.130311986863711,2.611918851696843,2.677486897421218,8.161797571428572,2.33555550240294,8.161797571428572,3.170116113885992,8.161797571428572,8.161797571428572
Andrew Heaney,571760,1230,5.266813008130081,2.612830128440367,1.848330836981679,3.6300565809007503,3.273500142264673,4.3828083436066505,3.7256320433694734,8.161797571428572,8.161797571428572
Ryan Brasier,518489,976,5.201342213114755,2.619382659523757,2.3650988807486626,3.072728974701769,2.778813189548115,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
Rafael Montero,606160,1093,5.202387923147301,2.6386509951219512,2.385737568862276,2.7261749316292687,2.6240577233816254,3.149510074407749,8.161797571428572,8.161797571428572,8.161797571428572
Richard Bleier,542947,768,5.158841145833334,2.6388560131578944,5.15072963368421,1.869208346550021,4.046626374460742,2.6505117616683216,8.161797571428572,2.905091912550608,8.161797571428572
Tyler Wells,669330,1648,5.186541262135923,2.645394627009646,2.6959254175527185,2.151675795819936,2.814774811872153,1.588111958199357,3.7357123069585687,8.161797571428572,8.161797571428572
Tyler Anderson,542881,2574,5.099483294483294,2.6481866630831856,2.328930824100357,3.50408868173101,8.161797571428572,2.726721964032598,4.841852423507463,2.6917343377847605,8.161797571428572
Griffin Jax,643377,1157,5.195929127052723,2.6502493271889405,3.097935741646018,8.161797571428572,1.9773404340109924,3.394118789585254,5.136337898011157,8.161797571428572,8.161797571428572
Anthony Bass,542914,986,5.068843813387424,2.654850497630332,3.7521472524078887,2.94453788117361,2.200833743265834,8.161797571428572,8.161797571428572,8.161797571428572,4.182944141450967
JT Chargois,608638,316,5.121962025316456,2.664472710844512,8.161797571428572,2.685388088491553,2.6298480940674778,8.161797571428572,8.161797571428572,8.161797571428572,8.161797571428572
