Pitcher,MLBAMID,Num_Pitches,PLV,PLA,FF,SI,SL,ST,CH,CU,FC,FS
A.J. Puk,640462,938,5.243667377398721,2.802579706823028,2.6807752959369315,3.3084382169117648,1.7978302941176474,2.9392190355677155,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596
Brandon Woodruff,605540,1043,5.1825407478427605,2.8030290447761192,2.275291478867345,3.3305030726064007,2.345276780189959,11.202328847402596,3.485195245140153,2.9317306174008007,11.202328847402596,11.202328847402596
Aaron Nola,605400,3087,5.183608681567865,2.811214161790017,2.736102331829521,3.416758585331015,11.202328847402596,11.202328847402596,3.2909910689527337,2.4273652400389687,2.392440639444736,11.202328847402596
Keaton Winn,676775,518,4.922625482625483,2.816775637795275,3.2979580126668946,3.3379042806012884,0.8606216109309865,11.202328847402596,11.202328847402596,11.202328847402596,11.202328847402596,2.560567753978305
Brock Burke,656271,914,5.161422319474836,2.8194921955307257,2.8359520167787142,3.776736179200688,2.2068053822268414,11.202328847402596,3.2784336975419,11.202328847402596,11.202328847402596,11.202328847402596
Andrés Machado,600921,773,5.159353169469599,2.820976920000001,3.5671187542105263,1.6780585168831168,3.316116731881188,11.202328847402596,3.027008337464789,11.202328847402596,11.202328847402596,11.202328847402596
Hunter Harvey,640451,962,5.1812162162162165,2.826935456043956,2.6810525464656454,11.202328847402596,3.393137581023454,11.202328847402596,11.202328847402596,2.757871158953722,11.202328847402596,2.9015321157222678
Spencer Strider,675911,3100,5.218390322580645,2.830319260714285,1.973569132653061,11.202328847402596,3.757824225736096,11.202328847402596,5.467018285714285,11.202328847402596,11.202328847402596,11.202328847402596
Julio Urías,628711,1847,5.175944775311315,2.854982838068181,3.156081234667296,11.202328847402596,11.202328847402596,11.202328847402596,3.2562126718554074,2.1988269805743244,2.8409306833133967,11.202328847402596
Kevin Kelly,687330,1054,5.167210626185958,2.857842944376788,11.202328847402596,2.825408292010536,11.202328847402596,2.56701474113378,11.202328847402596,11.202328847402596,4.185090808457712,11.202328847402596
Nestor Cortes,641482,1063,5.230131702728128,2.8790535149576666,2.7098221552820894,11.202328847402596,4.466323877511962,3.0364472073968707,3.5310845557894743,11.202328847402596,2.93220494915138,11.202328847402596
